instance,resolution,debug_difficulty,node_count,exec_edge_count,hier_edge_count,step_count,longest_path,avg_out_degree,loop_count,avg_loop_length,backedge_fraction,max_loop_length,min_loop_length,edge_count,most_freq_node,most_freq_node_freq,loc_focus_ratio,loc_dominant_zone,loc_num_clusters,loc_avg_node_freq,repeated_view,max_view_depth,avg_view_depth,max_view_span,avg_view_span,scroll_behavior,num_deep_zooms_without_edit,back_and_forth_switch,zoom_out,patch_total,patch_success,flip_flop,repeat_failed_edit,abandonment,fail_to_success_patterns,fail_streak_max,fail_streak_avg,fail_streak_count,fail_type_not found,fail_type_no change,fail_type_multiple occurrences,fail_type_unknown,fail_type_invalid code
django__django-17087,resolved,under15min,4,6,0,7,2,1.25,2,2.0,0.3333333333333333,2,2,6,1:think,3,0.14,early,1,1.0,False,1,1.0,1,1.0,False,0,False,False,1,1,False,False,False,N/A,0,0,0,0,0,0,0,0
sympy__sympy-15809,unresolved,under15min,8,8,4,9,7,1.0,1,2.0,0.125,2,2,12,6:submit,2,0.56,early,1,1.0,False,4,3.5,2,1.25,False,1,False,True,1,1,False,False,False,N/A,0,0,0,0,0,0,0,0
scikit-learn__scikit-learn-12585,resolved,under15min,5,6,1,7,4,1.2,2,1.0,0.3333333333333333,1,1,7,3:think,2,0.29,early,1,1.0,False,2,2.0,1,1.0,False,0,False,False,1,1,False,False,False,N/A,0,0,0,0,0,0,0,0
django__django-17029,resolved,under15min,6,7,2,8,5,1.1666666666666667,2,3.5,0.14285714285714285,5,2,9,1:think,2,0.38,middle,2,1.0,False,3,3.0,1,1.0,False,0,False,False,1,1,False,False,False,N/A,0,0,0,0,0,0,0,0
django__django-15741,unresolved,under15min,1,3,0,4,0,1.0,1,1.0,1.0,1,1,3,0:think,4,0.0,none,0,0.0,False,0,0.0,0,0.0,False,0,False,False,0,0,False,False,False,N/A,0,0,0,0,0,0,0,0
sympy__sympy-14711,unresolved,under15min,1,3,0,4,0,1.0,1,1.0,1.0,1,1,3,0:think,4,0.0,none,0,0.0,False,0,0.0,0,0.0,False,0,False,False,0,0,False,False,False,N/A,0,0,0,0,0,0,0,0
django__django-16139,resolved,under15min,5,6,1,7,4,1.2,2,2.5,0.16666666666666666,3,2,7,2:think,2,0.29,early,1,1.0,False,2,2.0,1,1.0,False,0,False,False,1,1,False,False,False,N/A,0,0,0,0,0,0,0,0
django__django-16333,resolved,under15min,8,10,1,11,6,1.25,3,2.3333333333333335,0.3,3,2,11,4:think,3,0.18,early,2,1.0,False,2,2.0,1,1.0,False,0,False,False,4,3,True,False,False,"('localization',)",1,1,1,1,0,0,0,0
django__django-13410,resolved,under15min,5,6,1,7,4,1.2,2,3.5,0.16666666666666666,5,2,7,0:think,2,0.29,early,1,1.0,False,2,2.0,1,1.0,False,0,False,True,1,1,False,False,False,N/A,0,0,0,0,0,0,0,0
matplotlib__matplotlib-20859,resolved,under15min,17,25,3,24,12,1.3529411764705883,8,3.625,0.32,7,1,28,6:think,7,0.27,early,3,1.0,False,3,2.5,2,1.33,True,0,False,False,6,5,False,False,False,"('general',)",1,1,1,1,0,0,0,0
pytest-dev__pytest-7205,resolved,under15min,6,10,0,11,4,1.6666666666666667,5,2.2,0.4,4,1,10,0:think,5,0.09,middle,1,1.0,False,1,1.0,1,1.0,False,0,False,False,3,2,False,False,False,"('general', 'localization', 'general')",1,1,1,1,0,0,0,0
