instance,resolution,debug_difficulty,node_count,exec_edge_count,hier_edge_count,step_count,longest_path,avg_out_degree,loop_count,avg_loop_length,backedge_fraction,max_loop_length,min_loop_length,edge_count,most_freq_node,most_freq_node_freq,loc_focus_ratio,loc_dominant_zone,loc_num_clusters,loc_avg_node_freq,repeated_view,max_view_depth,avg_view_depth,max_view_span,avg_view_span,scroll_behavior,num_deep_zooms_without_edit,back_and_forth_switch,zoom_out,patch_total,patch_success,flip_flop,repeat_failed_edit,abandonment,fail_to_success_patterns,fail_streak_max,fail_streak_avg,fail_streak_count,fail_type_not found,fail_type_no change,fail_type_multiple occurrences,fail_type_unknown,fail_type_invalid code
django__django-14053,unresolved,under1h,5,5,1,6,4,1.0,1,1.0,0.2,1,1,6,4:submit,2,0.33,early,1,1.0,False,2,2.0,1,1.0,False,0,False,False,2,1,False,False,False,N/A,1,1.0,1,1,0,0,0,0
django__django-15382,unresolved,under1h,20,32,3,33,8,1.4,9,2.888888888888889,0.40625,5,1,35,2:think,14,0.27,early,6,1.0,False,2,1.6,3,3.0,False,1,False,False,9,4,False,False,False,"('general',)",2,1.25,4,5,0,0,0,0
django__django-13670,resolved,under1h,4,4,0,5,3,1.0,1,2.0,0.25,2,2,4,2:submit,2,0.2,early,1,1.0,False,1,1.0,1,1.0,False,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-11740,resolved,under1h,17,25,5,22,11,1.3529411764705883,7,3.0,0.28,6,1,30,3:think,4,0.23,early,4,1.0,False,4,3.33,3,1.5,True,0,False,True,6,4,False,True,False,"('general', 'localization')",2,2.0,1,2,0,0,0,0
django__django-12155,unresolved,under1h,1,0,0,1,0,0.0,0,0.0,0.0,0,0,0,0:think,1,0.0,none,0,0.0,False,0,0.0,0,0.0,False,0,False,False,0,0,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-16136,resolved,under1h,4,6,0,7,2,1.25,2,2.0,0.3333333333333333,2,2,6,1:think,3,0.14,early,1,1.0,False,1,1.0,1,1.0,False,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
sympy__sympy-20801,unresolved,under1h,6,7,1,8,5,1.0,1,2.0,0.14285714285714285,2,2,8,4:think,2,0.38,early,1,1.0,False,2,2.0,1,1.0,False,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-11292,resolved,under1h,11,14,6,15,9,1.2727272727272727,4,3.75,0.21428571428571427,8,2,20,0:think,4,0.47,mixed,5,1.0,False,3,2.5,4,2.33,True,0,False,False,2,2,False,False,False,N/A,0,0.0,0,0,0,0,0,0
matplotlib__matplotlib-24970,resolved,under1h,4,5,0,6,3,1.25,2,2.0,0.4,3,1,5,0:think,2,0.17,early,1,1.0,False,1,1.0,1,1.0,False,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-14771,resolved,under1h,5,7,1,8,4,1.4,3,2.3333333333333335,0.2857142857142857,4,1,8,1:think,3,0.25,early,2,1.0,False,2,2.0,1,1.0,False,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-16877,resolved,under1h,5,7,1,8,4,1.0,1,1.0,0.42857142857142855,1,1,8,4:think,4,0.25,early,1,1.0,False,2,2.0,1,1.0,False,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
pytest-dev__pytest-8399,resolved,under1h,6,9,2,10,4,1.5,4,2.5,0.3333333333333333,4,2,11,0:think,4,0.3,middle,3,1.0,False,2,2.0,2,1.5,False,1,False,True,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-14349,unresolved,under1h,19,26,2,27,15,1.368421052631579,9,4.444444444444445,0.3076923076923077,10,1,28,0:think,6,0.19,mixed,5,1.25,True,2,2.0,3,2.0,True,0,False,True,14,8,False,True,False,"('general',)",3,2.0,3,6,0,0,0,0
sympy__sympy-19783,unresolved,under1h,3,7,0,8,2,1.6666666666666667,3,1.6666666666666667,0.7142857142857143,2,1,7,0:think,6,0.25,early,2,1.0,False,1,1.0,1,1.0,False,1,False,False,0,0,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-15022,unresolved,under1h,1,3,0,4,0,1.0,1,1.0,1.0,1,1,3,0:think,4,0.0,none,0,0.0,False,0,0.0,0,0.0,False,0,False,False,0,0,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-16662,resolved,under1h,4,4,0,5,3,1.0,1,2.0,0.25,2,2,4,2:submit,2,0.2,early,1,1.0,False,1,1.0,1,1.0,False,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
sphinx-doc__sphinx-8120,unresolved,under1h,5,10,3,11,3,1.6,4,2.0,0.6,3,1,13,0:think,7,0.36,early,3,1.0,False,3,2.5,2,1.33,False,2,False,True,0,0,False,False,False,N/A,0,0.0,0,0,0,0,0,0
sympy__sympy-13031,resolved,under1h,11,11,2,12,10,1.0,1,2.0,0.09090909090909091,2,2,13,9:submit,2,0.58,early,1,1.0,False,2,2.0,2,1.5,False,0,False,False,2,2,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-13343,resolved,under1h,6,8,0,9,5,1.3333333333333333,3,3.0,0.25,5,2,8,0:think,3,0.22,early,2,1.0,False,1,1.0,2,2.0,False,0,False,False,2,2,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-12262,unresolved,under1h,24,48,4,49,10,1.6666666666666667,30,3.933333333333333,0.4583333333333333,6,1,52,1:think,17,0.14,early,7,1.75,True,3,3.0,5,2.33,True,0,False,True,25,2,False,True,False,"('localization',)",22,11.5,2,23,0,0,0,0
django__django-12050,resolved,under1h,5,6,1,7,4,1.0,1,2.0,0.16666666666666666,2,2,7,3:think,2,0.29,early,1,1.0,False,2,2.0,1,1.0,False,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
sympy__sympy-24443,resolved,under1h,8,12,1,11,5,1.375,4,2.0,0.25,3,1,13,3:think,4,0.15,early,1,1.0,False,2,2.0,1,1.0,False,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-16493,resolved,under1h,7,8,3,9,6,1.1428571428571428,2,4.5,0.125,7,2,11,0:think,2,0.44,early,1,1.0,False,3,3.0,2,1.33,False,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
