instance,resolution,debug_difficulty,node_count,exec_edge_count,hier_edge_count,step_count,longest_path,avg_out_degree,loop_count,avg_loop_length,backedge_fraction,max_loop_length,min_loop_length,edge_count,most_freq_node,most_freq_node_freq,loc_focus_ratio,loc_dominant_zone,loc_num_clusters,loc_avg_node_freq,repeated_view,max_view_depth,avg_view_depth,max_view_span,avg_view_span,scroll_behavior,num_deep_zooms_without_edit,back_and_forth_switch,zoom_out,patch_total,patch_success,flip_flop,repeat_failed_edit,abandonment,fail_to_success_patterns,fail_streak_max,fail_streak_avg,fail_streak_count,fail_type_not found,fail_type_no change,fail_type_multiple occurrences,fail_type_unknown,fail_type_invalid code
sphinx-doc__sphinx-8621,unresolved,under15min,14,18,6,19,12,1.2142857142857142,4,4.25,0.2222222222222222,10,1,24,0:think,4,0.42,early,3,1.0,False,2,2.0,6,4.0,False,1,False,False,5,2,False,True,False,N/A,3,3,1,3,0,0,0,0
django__django-13023,unresolved,under15min,9,9,4,10,8,1.0,1,1.0,0.1111111111111111,1,1,13,8:submit,2,0.6,middle,2,1.0,False,3,3.0,3,1.67,True,0,False,False,1,1,False,False,False,N/A,0,0,0,0,0,0,0,0
django__django-11490,unresolved,under15min,4,4,0,5,3,1.0,1,2.0,0.25,2,2,4,2:submit,2,0.2,early,1,1.0,False,1,1.0,1,1.0,False,0,False,False,1,1,False,False,False,N/A,0,0,0,0,0,0,0,0
matplotlib__matplotlib-24177,unresolved,under15min,14,19,0,20,12,1.2142857142857142,4,4.25,0.3157894736842105,9,1,19,0:think,7,0.5,middle,4,1.0,False,1,1.0,5,5.0,False,0,False,False,3,0,False,False,True,N/A,3,3,1,3,0,0,0,0
django__django-13112,unresolved,under15min,4,8,2,9,3,1.25,2,1.5,0.625,2,1,10,2:think,6,0.33,early,2,1.0,False,2,2.0,2,1.5,False,2,False,False,0,0,False,False,False,N/A,0,0,0,0,0,0,0,0
django__django-14376,unresolved,under15min,1,3,0,4,0,1.0,1,1.0,1.0,1,1,3,0:think,4,0.0,none,0,0.0,False,0,0.0,0,0.0,False,0,False,False,0,0,False,False,False,N/A,0,0,0,0,0,0,0,0
django__django-13297,unresolved,under15min,1,3,0,4,0,1.0,1,1.0,1.0,1,1,3,0:think,4,0.0,none,0,0.0,False,0,0.0,0,0.0,False,0,False,False,0,0,False,False,False,N/A,0,0,0,0,0,0,0,0
pydata__xarray-4094,unresolved,under15min,7,12,2,13,4,1.7142857142857142,6,2.1666666666666665,0.4166666666666667,4,1,14,0:think,6,0.31,middle,4,1.0,False,2,2.0,2,1.5,False,0,False,False,1,1,False,False,False,N/A,0,0,0,0,0,0,0,0
django__django-11951,unresolved,under15min,1,3,0,4,0,1.0,1,1.0,1.0,1,1,3,0:think,4,0.0,none,0,0.0,False,0,0.0,0,0.0,False,0,False,False,0,0,False,False,False,N/A,0,0,0,0,0,0,0,0
django__django-11239,unresolved,under15min,4,5,0,6,3,1.25,2,1.5,0.4,2,1,5,2:submit,2,0.17,early,1,1.0,False,1,1.0,1,1.0,False,0,False,False,1,1,False,False,False,N/A,0,0,0,0,0,0,0,0
