instance,resolution,debug_difficulty,node_count,exec_edge_count,hier_edge_count,step_count,longest_path,avg_out_degree,loop_count,avg_loop_length,backedge_fraction,max_loop_length,min_loop_length,edge_count,most_freq_node,most_freq_node_freq,loc_focus_ratio,loc_dominant_zone,loc_num_clusters,loc_avg_node_freq,repeated_view,max_view_depth,avg_view_depth,max_view_span,avg_view_span,scroll_behavior,num_deep_zooms_without_edit,back_and_forth_switch,zoom_out,patch_total,patch_success,flip_flop,repeat_failed_edit,abandonment,fail_to_success_patterns,fail_streak_max,fail_streak_avg,fail_streak_count,fail_type_not found,fail_type_no change,fail_type_multiple occurrences,fail_type_unknown,fail_type_invalid code
astropy__astropy-8707,unresolved,under1h,9,11,3,12,7,1.1111111111111112,2,3.5,0.18181818181818182,5,2,14,3:think,3,0.42,early,2,1.0,False,3,2.5,2,1.67,True,0,False,True,2,2,False,False,False,N/A,0,0,0,0,0,0,0,0
pytest-dev__pytest-7490,unresolved,under1h,8,10,4,11,7,1.125,2,1.5,0.2,2,1,14,6:think,3,0.45,early,1,1.0,False,3,2.33,3,1.67,False,2,False,False,1,1,False,False,False,N/A,0,0,0,0,0,0,0,0
scikit-learn__scikit-learn-12973,unresolved,under1h,9,11,5,12,7,1.1111111111111112,2,4.5,0.18181818181818182,7,2,16,1:think,3,0.5,early,2,1.0,False,5,3.5,2,1.2,True,1,False,True,1,1,False,False,False,N/A,0,0,0,0,0,0,0,0
sphinx-doc__sphinx-10614,unresolved,under1h,6,8,4,9,4,1.3333333333333333,3,2.6666666666666665,0.375,3,2,12,0:think,4,0.56,mixed,3,1.0,False,3,3.0,3,1.67,False,1,False,False,0,0,False,False,False,N/A,0,0,0,0,0,0,0,0
django__django-15382,unresolved,under1h,8,10,4,11,6,1.125,2,2.0,0.2,2,2,14,5:think,3,0.45,early,1,1.0,False,4,3.5,2,1.25,False,1,False,False,1,1,False,False,False,N/A,0,0,0,0,0,0,0,0
sympy__sympy-13551,unresolved,under1h,6,8,2,9,5,1.1666666666666667,2,1.5,0.25,2,1,10,4:think,3,0.33,early,1,1.0,False,3,3.0,1,1.0,False,0,False,False,1,1,False,False,False,N/A,0,0,0,0,0,0,0,0
pydata__xarray-7229,unresolved,under1h,7,9,3,10,6,1.1428571428571428,2,2.0,0.2222222222222222,2,2,12,3:str_replace_editor: view,2,0.5,early,2,1.25,True,4,4.0,2,1.25,True,0,False,False,1,1,False,False,False,N/A,0,0,0,0,0,0,0,0
django__django-13028,unresolved,under1h,7,11,3,12,5,1.2857142857142858,3,2.0,0.36363636363636365,3,1,14,3:think,5,0.42,early,2,1.0,False,2,2.0,3,2.0,False,3,False,True,0,0,False,False,False,N/A,0,0,0,0,0,0,0,0
django__django-11740,unresolved,under1h,8,10,2,10,6,1.125,2,3.5,0.2,5,2,12,2:think,3,0.55,middle,2,1.0,False,2,2.0,2,1.5,False,2,False,True,0,0,False,False,False,N/A,0,0,0,0,0,0,0,0
sympy__sympy-13798,unresolved,under1h,10,12,8,13,8,1.2,3,3.6666666666666665,0.25,7,1,20,1:think,4,0.69,mixed,3,1.0,False,5,4.2,5,1.8,True,1,False,False,0,0,False,False,False,N/A,0,0,0,0,0,0,0,0
scikit-learn__scikit-learn-14629,unresolved,under1h,6,7,0,8,5,1.0,1,2.0,0.14285714285714285,2,2,7,4:think,2,0.25,early,1,1.0,False,1,1.0,2,2.0,False,0,False,False,2,2,False,False,False,N/A,0,0,0,0,0,0,0,0
django__django-16950,unresolved,under1h,4,5,0,6,3,1.0,1,2.0,0.2,2,2,5,2:think,2,0.17,early,1,1.0,False,1,1.0,1,1.0,False,0,False,False,1,1,False,False,False,N/A,0,0,0,0,0,0,0,0
pydata__xarray-6938,unresolved,under1h,12,15,5,16,8,1.1666666666666667,3,3.3333333333333335,0.2,5,2,20,4:think,4,0.56,mixed,3,1.0,False,4,4.0,3,1.5,False,0,False,False,1,1,False,False,False,N/A,0,0,0,0,0,0,0,0
pytest-dev__pytest-7324,unresolved,under1h,15,19,10,20,10,1.2,4,3.0,0.21052631578947367,5,2,29,6:think,5,0.6,early,4,1.0,False,4,3.57,5,2.75,False,6,False,False,1,1,False,False,False,N/A,0,0,0,0,0,0,0,0
sympy__sympy-20801,unresolved,under1h,5,8,1,9,3,1.4,3,1.6666666666666667,0.375,2,1,9,2:think,4,0.22,early,1,1.0,False,2,2.0,1,1.0,False,0,False,False,1,1,False,False,False,N/A,0,0,0,0,0,0,0,0
django__django-11292,unresolved,under1h,10,14,6,15,7,1.3,4,2.25,0.2857142857142857,4,1,20,4:think,5,0.47,early,3,1.0,False,5,4.0,2,1.4,True,1,False,True,1,1,False,False,False,N/A,0,0,0,0,0,0,0,0
astropy__astropy-8872,unresolved,under1h,7,8,3,9,6,1.0,1,2.0,0.125,2,2,11,5:think,2,0.44,early,1,1.0,False,4,4.0,1,1.0,False,0,False,False,1,1,False,False,False,N/A,0,0,0,0,0,0,0,0
django__django-14725,unresolved,under1h,11,13,5,14,9,1.0909090909090908,2,2.0,0.15384615384615385,2,2,18,8:think,3,0.43,early,1,1.0,False,4,4.0,3,1.5,False,0,False,False,3,3,False,False,False,N/A,0,0,0,0,0,0,0,0
django__django-14771,unresolved,under1h,5,8,1,9,3,1.4,3,1.6666666666666667,0.375,2,1,9,2:think,4,0.22,early,1,1.0,False,2,2.0,1,1.0,False,0,False,False,1,1,False,False,False,N/A,0,0,0,0,0,0,0,0
sphinx-doc__sphinx-8551,unresolved,under1h,8,11,5,12,7,1.25,3,4.333333333333333,0.36363636363636365,6,3,16,0:think,3,0.5,early,3,1.2,True,5,5.0,2,1.2,True,0,False,False,1,1,False,False,False,N/A,0,0,0,0,0,0,0,0
sphinx-doc__sphinx-11445,unresolved,under1h,5,6,1,7,4,1.0,1,2.0,0.16666666666666666,2,2,7,3:think,2,0.29,early,1,1.0,False,2,2.0,1,1.0,False,0,False,False,1,1,False,False,False,N/A,0,0,0,0,0,0,0,0
pytest-dev__pytest-5840,unresolved,under1h,5,7,3,8,4,1.0,1,1.0,0.42857142857142855,1,1,10,4:think,4,0.5,early,1,1.0,False,3,2.5,2,1.33,False,2,False,False,0,0,False,False,False,N/A,0,0,0,0,0,0,0,0
sphinx-doc__sphinx-8593,unresolved,under1h,8,10,3,11,6,1.125,2,3.0,0.2,4,2,13,3:think,3,0.36,early,2,1.0,False,4,4.0,1,1.0,False,0,False,False,2,2,False,False,False,N/A,0,0,0,0,0,0,0,0
