instance,resolution,debug_difficulty,node_count,exec_edge_count,hier_edge_count,step_count,longest_path,avg_out_degree,loop_count,avg_loop_length,backedge_fraction,max_loop_length,min_loop_length,edge_count,most_freq_node,most_freq_node_freq,loc_focus_ratio,loc_dominant_zone,loc_num_clusters,loc_avg_node_freq,repeated_view,max_view_depth,avg_view_depth,max_view_span,avg_view_span,scroll_behavior,num_deep_zooms_without_edit,back_and_forth_switch,zoom_out,patch_total,patch_success,flip_flop,repeat_failed_edit,abandonment,fail_to_success_patterns,fail_streak_max,fail_streak_avg,fail_streak_count,fail_type_not found,fail_type_no change,fail_type_multiple occurrences,fail_type_unknown,fail_type_invalid code
pydata__xarray-7233,resolved,under1h,64,107,0,71,11,1.53125,36,2.8333333333333335,0.3364485981308411,4,2,107,8:cd,37,0.35,mixed,36,1.19,True,0,0,0,0,False,0,False,False,0,0,False,False,False,N/A,0,0,0,0,0,0,0,0
astropy__astropy-7671,resolved,under1h,57,105,0,62,11,1.7017543859649122,41,2.341463414634146,0.4,8,2,105,4:cd,44,0.33,mixed,33,1.03,True,0,0,0,0,False,0,False,False,1,1,False,False,False,N/A,0,0,0,0,0,0,0,0
django__django-14672,resolved,under1h,57,92,0,61,11,1.5614035087719298,34,2.8823529411764706,0.3695652173913043,6,2,92,6:cd,32,0.09,early,7,1.14,True,0,0,0,0,False,0,False,False,19,19,True,False,False,N/A,0,0,0,0,0,0,0,0
scikit-learn__scikit-learn-26323,resolved,under1h,137,591,0,311,13,1.8175182481751824,114,2.307017543859649,0.4754653130287648,8,2,591,8:cd,281,0.48,mixed,282,2.59,True,0,0,0,0,False,0,False,False,0,0,False,False,False,N/A,0,0,0,0,0,0,0,0
sympy__sympy-22914,unsubmitted,under1h,396,397,0,398,385,1.0025252525252526,2,16.0,0.005037783375314861,16,16,397,9:grep,2,0.96,mixed,5,1.01,True,0,0,0,0,False,0,False,False,0,0,False,False,False,N/A,0,0,0,0,0,0,0,0
django__django-16662,resolved,under1h,64,101,0,64,14,1.5625,37,2.5945945945945947,0.36633663366336633,9,2,101,6:cd,37,0.15,early,15,1.0,False,0,0,0,0,False,0,False,False,18,18,True,False,False,N/A,0,0,0,0,0,0,0,0
sympy__sympy-24443,resolved,under1h,59,107,0,64,11,1.694915254237288,43,2.4651162790697674,0.4205607476635514,6,2,107,6:cd,44,0.38,mixed,40,1.11,True,0,0,0,0,False,0,False,False,3,3,True,False,False,N/A,0,0,0,0,0,0,0,0
django__django-15731,resolved,under1h,70,121,0,74,9,1.6285714285714286,49,2.795918367346939,0.36363636363636365,5,1,121,5:cd,43,0.15,early,17,1.12,True,0,0,0,0,False,0,False,False,16,16,True,False,False,N/A,0,0,0,0,0,0,0,0
django__django-14349,resolved,under1h,64,104,0,66,16,1.578125,38,2.473684210526316,0.3557692307692308,8,2,104,9:cd,39,0.07,early,6,1.0,False,0,0,0,0,False,0,False,False,18,18,True,False,False,N/A,0,0,0,0,0,0,0,0
scikit-learn__scikit-learn-11578,resolved,under1h,68,117,0,83,20,1.5,36,3.2777777777777777,0.29914529914529914,10,2,117,11:cd,35,0.36,mixed,37,1.5,True,0,0,0,0,False,0,False,False,0,0,False,False,False,N/A,0,0,0,0,0,0,0,0
