instance,resolution,debug_difficulty,node_count,exec_edge_count,hier_edge_count,step_count,longest_path,avg_out_degree,loop_count,avg_loop_length,backedge_fraction,max_loop_length,min_loop_length,edge_count,most_freq_node,most_freq_node_freq,loc_focus_ratio,loc_dominant_zone,loc_num_clusters,loc_avg_node_freq,repeated_view,max_view_depth,avg_view_depth,max_view_span,avg_view_span,scroll_behavior,num_deep_zooms_without_edit,back_and_forth_switch,zoom_out,patch_total,patch_success,flip_flop,repeat_failed_edit,abandonment,fail_to_success_patterns,fail_streak_max,fail_streak_avg,fail_streak_count,fail_type_not found,fail_type_no change,fail_type_multiple occurrences,fail_type_unknown,fail_type_invalid code
sphinx-doc__sphinx-8548,unresolved,under4h,132,256,0,158,15,1.6742424242424243,93,2.763440860215054,0.39453125,11,2,256,4:cd,99,0.16,early,40,1.0,False,0,0,0,0,False,0,False,False,3,3,True,False,False,N/A,0,0,0,0,0,0,0,0
pydata__xarray-3993,resolved,under4h,66,100,0,68,28,1.5151515151515151,36,3.5,0.33,23,2,100,25:cd,33,0.15,early,9,1.0,False,0,0,0,0,False,0,False,False,3,3,True,False,False,N/A,0,0,0,0,0,0,0,0
pytest-dev__pytest-10356,unresolved,under4h,123,222,0,136,10,1.7235772357723578,91,2.4395604395604398,0.4099099099099099,5,1,222,6:cd,87,0.24,mixed,54,1.12,True,0,0,0,0,False,0,False,False,2,2,True,False,False,N/A,0,0,0,0,0,0,0,0
pytest-dev__pytest-6197,unresolved,under4h,155,553,0,307,15,1.6451612903225807,116,3.4482758620689653,0.4412296564195298,10,2,553,1:cd,235,0.06,early,35,1.03,True,0,0,0,0,False,0,False,False,2,2,True,False,False,N/A,0,0,0,0,0,0,0,0
sphinx-doc__sphinx-9461,unresolved,under4h,93,169,0,106,11,1.6666666666666667,64,2.71875,0.378698224852071,7,2,169,4:cd,64,0.35,mixed,59,1.26,True,0,0,0,0,False,0,False,False,0,0,False,False,False,N/A,0,0,0,0,0,0,0,0
django__django-16263,unresolved,under4h,113,153,0,120,53,1.3008849557522124,36,5.694444444444445,0.23529411764705882,30,2,153,44:cd,34,0.25,early,20,1.03,True,0,0,0,0,False,0,False,False,33,33,True,False,False,N/A,0,0,0,0,0,0,0,0
django__django-14011,unresolved,under4h,82,121,0,87,33,1.4024390243902438,34,3.176470588235294,0.2644628099173554,20,2,121,14:cd,34,0.19,early,14,1.0,False,0,0,0,0,False,0,False,False,16,16,True,False,False,N/A,0,0,0,0,0,0,0,0
sympy__sympy-13852,unresolved,under4h,87,868,0,444,12,1.8275862068965518,77,2.4805194805194803,0.49078341013824883,9,2,868,10:cd,425,0.03,early,21,1.0,False,0,0,0,0,False,0,False,False,0,0,False,False,False,N/A,0,0,0,0,0,0,0,0
django__django-15629,unresolved,under4h,124,197,0,157,58,1.3629032258064515,51,5.1568627450980395,0.2436548223350254,30,1,197,48:cd,41,0.16,early,10,1.0,False,0,0,0,0,False,0,False,False,36,36,True,False,False,N/A,0,0,0,0,0,0,0,0
pytest-dev__pytest-5787,resolved,under4h,75,130,0,82,21,1.6,46,2.4782608695652173,0.36923076923076925,8,2,130,14:cd,49,0.06,early,5,1.0,False,0,0,0,0,False,0,False,False,2,2,True,False,False,N/A,0,0,0,0,0,0,0,0
sympy__sympy-16597,unresolved,under4h,75,140,0,88,20,1.6133333333333333,47,2.382978723404255,0.36428571428571427,4,2,140,17:cd,53,0.45,mixed,55,1.24,True,0,0,0,0,False,0,False,False,0,0,False,False,False,N/A,0,0,0,0,0,0,0,0
