instance,resolution,debug_difficulty,node_count,exec_edge_count,hier_edge_count,step_count,longest_path,avg_out_degree,loop_count,avg_loop_length,backedge_fraction,max_loop_length,min_loop_length,edge_count,most_freq_node,most_freq_node_freq,loc_focus_ratio,loc_dominant_zone,loc_num_clusters,loc_avg_node_freq,repeated_view,max_view_depth,avg_view_depth,max_view_span,avg_view_span,scroll_behavior,num_deep_zooms_without_edit,back_and_forth_switch,zoom_out,patch_total,patch_success,flip_flop,repeat_failed_edit,abandonment,fail_to_success_patterns,fail_streak_max,fail_streak_avg,fail_streak_count,fail_type_not found,fail_type_no change,fail_type_multiple occurrences,fail_type_unknown,fail_type_invalid code
django__django-17087,unresolved,under15min,1,0,0,1,0,0.0,0,0.0,0.0,0,0,0,0:think,1,0.0,none,0,0.0,False,0,0.0,0,0.0,False,0,False,False,0,0,False,False,False,N/A,0,0.0,0,0,0,0,0,0
astropy__astropy-8707,unresolved,under1h,1,0,0,1,0,0.0,0,0.0,0.0,0,0,0,0:think,1,0.0,none,0,0.0,False,0,0.0,0,0.0,False,0,False,False,0,0,False,False,False,N/A,0,0.0,0,0,0,0,0,0
pytest-dev__pytest-7490,unresolved,under1h,14,184,12,185,12,1.0714285714285714,2,2.0,0.4673913043478261,2,2,196,10:str_replace_editor: view,87,0.99,mixed,1,14.15,True,4,3.98,174,46.0,True,7,False,False,0,0,False,False,False,N/A,0,0.0,0,0,0,0,0,0
scikit-learn__scikit-learn-12973,resolved,under1h,10,10,4,11,9,1.0,1,1.0,0.1,1,1,14,9:submit,2,0.55,early,2,1.0,False,4,3.5,2,1.25,True,0,False,False,2,2,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-10097,unresolved,under15min,158,226,3,201,51,1.3164556962025316,92,7.336956521739131,0.2345132743362832,18,2,239,25:cd,22,0.11,early,4,1.0,False,4,2.5,2,1.25,True,1,False,True,75,74,True,False,True,N/A,1,1.0,1,0,0,0,1,0
django__django-14053,unresolved,under1h,1,0,0,1,0,0.0,0,0.0,0.0,0,0,0,0:think,1,0.0,none,0,0.0,False,0,0.0,0,0.0,False,0,False,False,0,0,False,False,False,N/A,0,0.0,0,0,0,0,0,0
astropy__astropy-12907,resolved,under1h,54,97,8,65,10,1.5555555555555556,32,2.96875,0.31958762886597936,5,2,124,6:cd,33,0.21,early,9,1.05,True,3,2.75,6,3.33,True,2,False,False,7,7,True,False,False,N/A,0,0.0,0,0,0,0,0,0
sympy__sympy-15809,unresolved,under15min,9,9,1,9,8,1.0,1,2.0,0.1111111111111111,2,2,11,7:submit,2,0.3,early,1,1.0,False,2,2.0,1,1.0,False,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
sphinx-doc__sphinx-8621,unresolved,under15min,11,11,0,12,10,1.0,1,2.0,0.09090909090909091,2,2,11,9:submit,2,0.5,early,1,1.0,False,1,1.0,3,3.0,False,2,False,False,3,3,False,False,False,N/A,0,0.0,0,0,0,0,0,0
scikit-learn__scikit-learn-10844,resolved,under1h,8,8,2,9,7,1.0,1,2.0,0.125,2,2,10,6:submit,2,0.33,early,1,1.0,False,3,3.0,1,1.0,False,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
sphinx-doc__sphinx-10614,unresolved,under1h,59,102,9,83,13,1.3559322033898304,22,4.5,0.22549019607843138,8,1,132,6:cd,20,0.13,middle,5,1.3,True,3,2.89,8,4.33,True,1,False,True,12,12,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-15382,unresolved,under1h,1,0,0,1,0,0.0,0,0.0,0.0,0,0,0,0:think,1,0.0,none,0,0.0,False,0,0.0,0,0.0,False,0,False,False,0,0,False,False,False,N/A,0,0.0,0,0,0,0,0,0
sympy__sympy-13551,unresolved,under1h,41,82,0,83,9,1.6829268292682926,29,2.4482758620689653,0.36585365853658536,3,2,82,6:python,31,0.08,early,1,1.0,False,1,1.0,1,1.0,False,0,False,False,28,16,True,True,False,N/A,12,12.0,1,0,12,0,0,0
django__django-11749,resolved,under1h,88,143,15,98,22,1.4659090909090908,42,3.0,0.32167832167832167,9,2,187,16:cd,46,0.12,early,6,1.0,False,4,3.67,3,2.5,True,3,False,False,28,28,True,False,False,N/A,0,0.0,0,0,0,0,0,0
psf__requests-2317,unresolved,under15min,11,11,7,12,10,1.0,1,1.0,0.09090909090909091,1,1,18,10:submit,2,0.67,early,1,1.0,False,3,2.6,4,2.67,True,3,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
scikit-learn__scikit-learn-12585,resolved,under15min,10,11,2,12,7,1.1,2,2.5,0.18181818181818182,3,2,13,5:python,2,0.25,early,1,1.0,False,3,3.0,1,1.0,False,0,False,False,3,3,True,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-15128,unresolved,under4h,1,0,0,1,0,0.0,0,0.0,0.0,0,0,0,0:think,1,0.0,none,0,0.0,False,0,0.0,0,0.0,False,0,False,False,0,0,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-17029,unresolved,under15min,1,0,0,1,0,0.0,0,0.0,0.0,0,0,0,0:think,1,0.0,none,0,0.0,False,0,0.0,0,0.0,False,0,False,False,0,0,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-15741,unresolved,under15min,1,0,0,1,0,0.0,0,0.0,0.0,0,0,0,0:think,1,0.0,none,0,0.0,False,0,0.0,0,0.0,False,0,False,False,0,0,False,False,False,N/A,0,0.0,0,0,0,0,0,0
pytest-dev__pytest-10051,unresolved,under1h,11,11,3,11,10,1.0,1,2.0,0.09090909090909091,2,2,15,9:submit,2,0.33,early,1,1.0,False,3,3.0,2,1.33,False,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
scikit-learn__scikit-learn-25931,resolved,under1h,12,12,6,13,11,1.0,1,2.0,0.08333333333333333,2,2,18,10:submit,2,0.54,early,1,1.0,False,4,4.0,4,1.75,False,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-13670,unresolved,under1h,1,0,0,1,0,0.0,0,0.0,0.0,0,0,0,0:think,1,0.0,none,0,0.0,False,0,0.0,0,0.0,False,0,False,False,0,0,False,False,False,N/A,0,0.0,0,0,0,0,0,0
sympy__sympy-14711,resolved,under15min,8,8,2,9,7,1.0,1,2.0,0.125,2,2,10,6:submit,2,0.33,early,1,1.0,False,3,3.0,1,1.0,False,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
pydata__xarray-7229,unresolved,under1h,28,43,7,44,12,1.5357142857142858,17,2.8823529411764706,0.3488372093023256,6,1,50,7:python,13,0.34,early,5,1.15,True,3,2.0,8,4.0,True,1,False,False,9,7,False,True,False,"('localization',)",2,2.0,1,2,0,0,0,0
django__django-16139,unresolved,under15min,1,0,0,1,0,0.0,0,0.0,0.0,0,0,0,0:think,1,0.0,none,0,0.0,False,0,0.0,0,0.0,False,0,False,False,0,0,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-12304,resolved,under15min,62,129,6,82,14,1.7096774193548387,49,3.0816326530612246,0.3953488372093023,10,2,166,10:cd,48,0.18,early,9,1.14,True,3,2.2,8,3.33,False,4,False,True,7,7,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-14007,unresolved,under4h,1,0,0,1,0,0.0,0,0.0,0.0,0,0,0,0:think,1,0.0,none,0,0.0,False,0,0.0,0,0.0,False,0,False,False,0,0,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-13028,resolved,under1h,114,184,20,128,35,1.456140350877193,59,3.2711864406779663,0.28804347826086957,17,2,237,17:cd,54,0.29,early,8,1.1,True,3,2.14,13,5.67,True,7,False,False,28,28,True,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-11740,resolved,under1h,93,126,16,97,53,1.2903225806451613,28,2.9285714285714284,0.2222222222222222,11,2,156,43:cd,29,0.39,early,7,1.0,False,3,1.8,11,7.33,True,7,False,False,14,14,True,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-16333,unresolved,under15min,1,0,0,1,0,0.0,0,0.0,0.0,0,0,0,0:think,1,0.0,none,0,0.0,False,0,0.0,0,0.0,False,0,False,False,0,0,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-13410,unresolved,under15min,1,0,0,1,0,0.0,0,0.0,0.0,0,0,0,0:think,1,0.0,none,0,0.0,False,0,0.0,0,0.0,False,0,False,False,0,0,False,False,False,N/A,0,0.0,0,0,0,0,0,0
sphinx-doc__sphinx-7462,unresolved,under15min,33,49,2,32,15,1.4242424242424243,17,4.294117647058823,0.30612244897959184,10,2,69,6:cd,9,0.2,early,7,1.0,False,3,3.0,1,1.0,False,0,False,False,6,5,False,False,False,N/A,1,1.0,1,0,1,0,0,0
django__django-13279,resolved,under1h,88,155,10,92,10,1.6704545454545454,60,2.45,0.3935483870967742,7,2,212,3:cd,63,0.22,early,23,1.0,False,4,1.78,7,3.75,True,5,False,False,19,19,True,False,False,N/A,0,0.0,0,0,0,0,0,0
matplotlib__matplotlib-20859,unresolved,under15min,1,0,0,1,0,0.0,0,0.0,0.0,0,0,0,0:think,1,0.0,none,0,0.0,False,0,0.0,0,0.0,False,0,False,False,0,0,False,False,False,N/A,0,0.0,0,0,0,0,0,0
pytest-dev__pytest-7205,resolved,under15min,8,8,0,8,7,1.0,1,2.0,0.125,2,2,9,6:submit,2,0.11,early,1,1.0,False,1,1.0,1,1.0,False,0,False,False,2,2,False,False,False,N/A,0,0.0,0,0,0,0,0,0
pydata__xarray-4094,unresolved,under15min,22,31,2,32,13,1.4090909090909092,10,2.0,0.3225806451612903,2,2,33,11:python,9,0.41,early,1,1.08,True,2,1.5,3,2.5,True,1,False,False,6,6,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-13417,unresolved,under15min,1,0,0,1,0,0.0,0,0.0,0.0,0,0,0,0:think,1,0.0,none,0,0.0,False,0,0.0,0,0.0,False,0,False,False,0,0,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-12155,resolved,under1h,75,120,10,82,13,1.5066666666666666,41,2.975609756097561,0.3333333333333333,6,2,148,8:cd,39,0.12,early,12,1.17,True,5,4.0,3,1.6,True,3,False,True,18,18,True,False,False,N/A,0,0.0,0,0,0,0,0,0
sympy__sympy-13798,unresolved,under1h,11,13,1,14,8,1.1818181818181819,3,2.0,0.23076923076923078,2,2,14,6:python,3,0.21,early,1,1.0,False,2,2.0,1,1.0,False,0,False,False,3,3,False,False,False,N/A,0,0.0,0,0,0,0,0,0
