instance,resolution,debug_difficulty,node_count,exec_edge_count,hier_edge_count,step_count,longest_path,avg_out_degree,loop_count,avg_loop_length,backedge_fraction,max_loop_length,min_loop_length,edge_count,most_freq_node,most_freq_node_freq,loc_focus_ratio,loc_dominant_zone,loc_num_clusters,loc_avg_node_freq,repeated_view,max_view_depth,avg_view_depth,max_view_span,avg_view_span,scroll_behavior,num_deep_zooms_without_edit,back_and_forth_switch,zoom_out,patch_total,patch_success,flip_flop,repeat_failed_edit,abandonment,fail_to_success_patterns,fail_streak_max,fail_streak_avg,fail_streak_count,fail_type_not found,fail_type_no change,fail_type_multiple occurrences,fail_type_unknown,fail_type_invalid code
astropy__astropy-14309,resolved,under15min,8,10,1,11,6,1.125,2,3.5,0.2,4,3,11,1:python,2,0.36,early,1,1,FALSE,2,2,1,1,FALSE,0,FALSE,FALSE,1,1,FALSE,FALSE,FALSE,N/A,0,0,0,0,0,0,0,0
astropy__astropy-14995,unresolved,under15min,43,67,10,68,26,1.209302326,10,5,0.2089552239,14,1,77,13:python,10,0.29,mixed,10,1.82,TRUE,4,3.88,15,5,TRUE,2,FALSE,FALSE,35,30,FALSE,TRUE,FALSE,N/A,5,5,1,3,0,2,0,0
astropy__astropy-7166,resolved,under15min,22,22,14,23,21,1,1,2,0.04545454545,2,2,36,20:submit,2,0.7,middle,1,1,FALSE,5,4,7,3,FALSE,7,FALSE,FALSE,1,1,FALSE,FALSE,FALSE,N/A,0,0,0,0,0,0,0,0
astropy__astropy-7336,resolved,under15min,6,7,0,8,4,1.166666667,2,2.5,0.2857142857,3,2,7,1:python,2,0.12,middle,1,1,FALSE,1,1,1,1,FALSE,0,FALSE,FALSE,2,2,FALSE,FALSE,FALSE,N/A,0,0,0,0,0,0,0,0
django__django-10097,unresolved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-10880,unresolved,under15min,19,31,1,25,9,1.315789474,7,3.571428571,0.2258064516,7,2,32,3:cd,7,0.53,middle,6,1.31,TRUE,2,1.5,2,1.5,FALSE,0,FALSE,FALSE,2,2,FALSE,FALSE,FALSE,N/A,0,0,0,0,0,0,0,0
django__django-10914,resolved,under15min,12,14,2,13,9,1.083333333,2,3,0.1428571429,4,2,16,5:cd,2,0.2,early,1,1,FALSE,2,2,2,1.5,FALSE,1,FALSE,FALSE,1,1,FALSE,FALSE,FALSE,N/A,0,0,0,0,0,0,0,0
django__django-10999,unresolved,under15min,19,88,2,87,5,1.631578947,13,2.076923077,0.4659090909,3,2,90,3:python,42,0.08,early,2,1.17,TRUE,3,3,1,1,FALSE,0,FALSE,FALSE,41,41,TRUE,FALSE,FALSE,N/A,0,0,0,0,0,0,0,0
django__django-11066,resolved,under15min,4,5,0,6,3,1,1,2,0.2,2,2,5,2:think,2,0.17,early,1,1,FALSE,1,1,1,1,FALSE,0,FALSE,FALSE,1,1,FALSE,FALSE,FALSE,N/A,0,0,0,0,0,0,0,0
django__django-11099,resolved,under15min,11,15,1,13,7,1.181818182,3,3,0.2,4,2,16,3:cd,3,0.25,early,2,1,FALSE,2,2,1,1,FALSE,0,FALSE,FALSE,2,2,FALSE,FALSE,FALSE,N/A,0,0,0,0,0,0,0,0
django__django-11119,resolved,under15min,14,23,2,19,7,1.285714286,5,3.2,0.2173913043,4,2,25,4:cd,5,0.38,early,4,1.29,TRUE,3,3,1,1,FALSE,0,FALSE,FALSE,1,1,FALSE,FALSE,FALSE,N/A,0,0,0,0,0,0,0,0
django__django-11133,resolved,under15min,12,19,3,16,7,1.25,4,3,0.2105263158,4,2,22,4:cd,4,0.4,early,3,1.14,TRUE,3,2.5,2,1.33,FALSE,1,FALSE,FALSE,1,1,FALSE,FALSE,FALSE,N/A,0,0,0,0,0,0,0,0
django__django-11163,resolved,under15min,16,20,6,18,13,1.125,3,2.666666667,0.15,3,2,26,9:cd,3,0.33,early,1,1,FALSE,4,3.33,3,1.75,FALSE,2,FALSE,FALSE,1,1,FALSE,FALSE,FALSE,N/A,0,0,0,0,0,0,0,0
django__django-11179,resolved,under15min,10,14,0,12,7,1.2,3,2.666666667,0.2142857143,3,2,14,3:cd,3,0.07,early,1,1,FALSE,1,1,1,1,FALSE,0,FALSE,FALSE,1,1,FALSE,FALSE,FALSE,N/A,0,0,0,0,0,0,0,0
django__django-11239,unresolved,under15min,7,8,3,9,6,1,1,2,0.125,2,2,11,5:think,2,0.44,early,1,1,FALSE,3,3,2,1.33,FALSE,1,FALSE,FALSE,1,1,FALSE,FALSE,FALSE,N/A,0,0,0,0,0,0,0,0
django__django-11299,unresolved,under15min,13,20,2,17,9,1.230769231,4,3,0.2,3,3,22,4:cd,4,0.52,early,5,1.38,TRUE,3,3,1,1,FALSE,0,FALSE,FALSE,1,1,FALSE,FALSE,FALSE,N/A,0,0,0,0,0,0,0,0
django__django-11433,unresolved,under15min,7,8,3,9,6,1,1,2,0.125,2,2,11,5:think,2,0.44,early,1,1,FALSE,4,4,1,1,FALSE,0,FALSE,FALSE,1,1,FALSE,FALSE,FALSE,N/A,0,0,0,0,0,0,0,0
django__django-11451,unresolved,under15min,5,6,1,7,4,1,1,2,0.1666666667,2,2,7,3:think,2,0.29,early,1,1,FALSE,2,2,1,1,FALSE,0,FALSE,FALSE,1,1,FALSE,FALSE,FALSE,N/A,0,0,0,0,0,0,0,0
django__django-11490,unresolved,under15min,16,28,0,22,8,1.375,7,3,0.25,4,2,28,4:cd,7,0.55,mixed,7,1.45,TRUE,1,1,2,2,FALSE,1,FALSE,FALSE,1,1,FALSE,FALSE,FALSE,N/A,0,0,0,0,0,0,0,0
django__django-11555,unresolved,under15min,18,23,4,24,8,1.277777778,6,3,0.2608695652,6,2,27,3:python,6,0.75,mixed,1,1.29,TRUE,4,4,2,1.25,TRUE,0,FALSE,FALSE,1,1,FALSE,FALSE,FALSE,N/A,0,0,0,0,0,0,0,0
django__django-11603,resolved,under15min,8,9,1,10,7,1,1,2,0.1111111111,2,2,10,6:think,2,0.2,early,1,1,FALSE,2,2,1,1,FALSE,0,FALSE,FALSE,4,4,FALSE,FALSE,FALSE,N/A,0,0,0,0,0,0,0,0
django__django-11820,unresolved,under15min,22,29,9,26,17,1.136363636,4,3,0.1379310345,4,2,38,14:cd,4,0.67,early,4,1.11,TRUE,4,3,4,2.5,TRUE,3,FALSE,TRUE,1,1,FALSE,FALSE,FALSE,N/A,0,0,0,0,0,0,0,0
django__django-11880,resolved,under15min,5,6,1,7,4,1,1,2,0.1666666667,2,2,7,3:think,2,0.29,early,1,1,FALSE,2,2,1,1,FALSE,0,FALSE,FALSE,1,1,FALSE,FALSE,FALSE,N/A,0,0,0,0,0,0,0,0
django__django-11951,resolved,under15min,15,16,12,17,14,1,1,2,0.0625,2,2,28,13:think,2,0.71,middle,1,1,FALSE,4,4,6,2.75,TRUE,0,FALSE,TRUE,1,1,FALSE,FALSE,FALSE,N/A,0,0,0,0,0,0,0,0
django__django-11964,unresolved,under15min,32,53,6,44,15,1.375,13,3.769230769,0.2452830189,9,1,59,10:cd,10,0.15,early,2,1.14,TRUE,4,4,5,2,TRUE,0,FALSE,FALSE,16,12,FALSE,TRUE,FALSE,N/A,4,4,1,4,0,0,0,0
django__django-12125,unresolved,under15min,21,22,6,19,20,1,1,2,0.04545454545,2,2,28,19:think,2,0.13,early,1,1,FALSE,3,3,1,1,FALSE,2,FALSE,FALSE,1,1,FALSE,FALSE,FALSE,N/A,0,0,0,0,0,0,0,0
django__django-12193,unresolved,under15min,10,11,4,12,9,1,1,2,0.09090909091,2,2,15,8:think,2,0.58,early,1,1,FALSE,3,2.67,2,1.67,FALSE,2,FALSE,FALSE,1,1,FALSE,FALSE,FALSE,N/A,0,0,0,0,0,0,0,0
django__django-12209,resolved,under15min,14,24,4,20,9,1.357142857,6,3.5,0.25,7,2,28,7:cd,5,0.52,mixed,6,1.3,TRUE,3,3,3,1.67,FALSE,0,FALSE,FALSE,1,1,FALSE,FALSE,FALSE,N/A,0,0,0,0,0,0,0,0
django__django-12276,resolved,under15min,7,7,2,8,6,1,1,1,0.1428571429,1,1,9,6:submit,2,0.38,early,1,1,FALSE,3,3,1,1,FALSE,0,FALSE,FALSE,2,2,FALSE,FALSE,FALSE,N/A,0,0,0,0,0,0,0,0
django__django-12304,unresolved,under15min,8,9,2,10,7,1,1,2,0.1111111111,2,2,11,6:think,2,0.3,early,1,1,FALSE,3,3,1,1,FALSE,0,FALSE,FALSE,3,3,FALSE,FALSE,FALSE,N/A,0,0,0,0,0,0,0,0
django__django-12308,unresolved,under15min,5,6,1,7,4,1,1,2,0.1666666667,2,2,7,3:think,2,0.29,early,1,1,FALSE,2,2,1,1,FALSE,0,FALSE,FALSE,1,1,FALSE,FALSE,FALSE,N/A,0,0,0,0,0,0,0,0
django__django-12419,resolved,under15min,8,9,3,10,7,1,1,2,0.1111111111,2,2,12,6:think,2,0.5,early,1,1,FALSE,4,4,1,1,TRUE,0,FALSE,FALSE,1,1,FALSE,FALSE,FALSE,N/A,0,0,0,0,0,0,0,0
django__django-12741,unresolved,under15min,7,8,3,9,6,1,1,2,0.125,2,2,11,5:think,2,0.44,early,1,1,FALSE,4,4,1,1,FALSE,0,FALSE,FALSE,1,1,FALSE,FALSE,FALSE,N/A,0,0,0,0,0,0,0,0
django__django-13023,unresolved,under15min,11,12,3,11,9,1.090909091,2,2,0.1666666667,2,2,15,6:python,2,0.31,early,1,1,FALSE,4,4,1,1,FALSE,0,FALSE,FALSE,1,1,FALSE,FALSE,FALSE,N/A,0,0,0,0,0,0,0,0
django__django-13089,resolved,under15min,5,6,1,7,4,1,1,2,0.1666666667,2,2,7,3:think,2,0.29,early,1,1,FALSE,2,2,1,1,FALSE,0,FALSE,FALSE,1,1,FALSE,FALSE,FALSE,N/A,0,0,0,0,0,0,0,0
django__django-13109,resolved,under15min,6,7,2,8,5,1,1,2,0.1428571429,2,2,9,4:think,2,0.38,early,1,1,FALSE,3,3,1,1,FALSE,0,FALSE,FALSE,1,1,FALSE,FALSE,FALSE,N/A,0,0,0,0,0,0,0,0
django__django-13112,unresolved,under15min,9,10,2,10,8,1,1,4,0.1,4,4,12,5:think,2,0.55,mixed,2,1,FALSE,3,3,1,1,FALSE,1,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,N/A,0,0,0,0,0,0,0,0
