instance,resolution,debug_difficulty,node_count,exec_edge_count,hier_edge_count,step_count,longest_path,avg_out_degree,loop_count,avg_loop_length,backedge_fraction,max_loop_length,min_loop_length,edge_count,most_freq_node,most_freq_node_freq,loc_focus_ratio,loc_dominant_zone,loc_num_clusters,loc_avg_node_freq,repeated_view,max_view_depth,avg_view_depth,max_view_span,avg_view_span,scroll_behavior,num_deep_zooms_without_edit,back_and_forth_switch,zoom_out,patch_total,patch_success,flip_flop,repeat_failed_edit,abandonment,fail_to_success_patterns,fail_streak_max,fail_streak_avg,fail_streak_count,fail_type_not found,fail_type_no change,fail_type_multiple occurrences,fail_type_unknown,fail_type_invalid code
django__django-17087,unresolved,under15min,12,13,8,14,11,1.0833333333333333,2,6.0,0.15384615384615385,11,1,21,0:think,2,0.71,middle,1,1.0,False,3,2.33,6,3.0,False,5,False,False,0,0,False,False,False,N/A,0,0.0,0,0,0,0,0,0
astropy__astropy-8707,unresolved,under1h,15,18,2,19,14,1.2,4,4.25,0.2222222222222222,8,2,20,0:think,2,0.53,early,2,1.11,True,3,1.67,4,2.0,True,0,False,True,2,2,False,False,False,N/A,0,0.0,0,0,0,0,0,0
pytest-dev__pytest-7490,unresolved,under1h,27,39,13,34,16,1.2962962962962963,12,5.416666666666667,0.23076923076923078,8,2,52,12:cd,6,0.42,early,6,1.06,True,5,3.67,7,3.0,True,4,False,True,6,5,False,False,False,"('localization',)",1,1.0,1,1,0,0,0,0
scikit-learn__scikit-learn-12973,unresolved,under1h,5,5,1,6,4,1.0,1,1.0,0.2,1,1,6,4:submit,2,0.33,early,1,1.0,False,2,2.0,1,1.0,False,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-10097,resolved,under15min,40,645,2,632,25,2.25,2250,8.590222222222222,0.5720930232558139,14,1,647,20:submit,328,0.08,early,37,4.08,True,3,3.0,2,1.33,False,0,False,False,25,12,True,True,True,"('localization',)",2,1.18,11,0,0,0,13,0
django__django-14053,unresolved,under1h,10,10,3,10,9,1.0,1,2.0,0.1,2,2,13,8:submit,2,0.55,early,1,1.0,False,4,4.0,1,1.0,False,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
astropy__astropy-12907,resolved,under1h,7,9,0,10,5,1.1428571428571428,2,2.5,0.2222222222222222,3,2,9,2:python,2,0.3,early,1,1.0,False,1,1.0,1,1.0,False,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
sympy__sympy-15809,unresolved,under15min,9,10,3,10,8,1.0,1,2.0,0.1,2,2,13,7:think,2,0.36,early,1,1.0,False,4,4.0,1,1.0,False,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
sphinx-doc__sphinx-8621,unresolved,under15min,9,11,5,12,7,1.2222222222222223,3,3.3333333333333335,0.2727272727272727,7,1,16,0:think,3,0.5,early,1,1.0,False,4,3.5,2,1.5,True,1,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
scikit-learn__scikit-learn-10844,resolved,under1h,8,9,1,10,6,1.125,2,2.0,0.2222222222222222,2,2,10,3:python,2,0.4,early,1,1.0,False,2,2.0,1,1.0,False,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
