instance,resolution,debug_difficulty,node_count,exec_edge_count,hier_edge_count,step_count,longest_path,avg_out_degree,loop_count,avg_loop_length,backedge_fraction,max_loop_length,min_loop_length,edge_count,most_freq_node,most_freq_node_freq,loc_focus_ratio,loc_dominant_zone,loc_num_clusters,loc_avg_node_freq,repeated_view,max_view_depth,avg_view_depth,max_view_span,avg_view_span,scroll_behavior,num_deep_zooms_without_edit,back_and_forth_switch,zoom_out,patch_total,patch_success,flip_flop,repeat_failed_edit,abandonment,fail_to_success_patterns,fail_streak_max,fail_streak_avg,fail_streak_count,fail_type_not found,fail_type_no change,fail_type_multiple occurrences,fail_type_unknown,fail_type_invalid code
sympy__sympy-22080,unresolved,under1h,105,175,28,116,17,1.5523809523809524,59,2.8983050847457625,0.33714285714285713,14,2,203,3:cd,60,0.35,early,28,1.03,True,4,3.0,14,6.5,True,3,False,False,5,5,False,False,False,N/A,0,0.0,0,0,0,0,0,0
sympy__sympy-23413,unresolved,under1h,47,87,10,60,14,1.5106382978723405,25,2.88,0.27586206896551724,6,2,97,9:cd,28,0.32,early,10,1.08,True,5,2.83,4,2.2,True,3,False,False,10,10,False,False,False,N/A,0,0.0,0,0,0,0,0,0
matplotlib__matplotlib-20488,resolved,under1h,124,203,36,137,27,1.4596774193548387,59,3.135593220338983,0.3251231527093596,10,2,239,18:cd,65,0.17,early,10,1.03,True,5,3.15,10,5.0,True,3,False,True,16,16,True,False,False,N/A,0,0.0,0,0,0,0,0,0
pylint-dev__pylint-4604,unresolved,under1h,86,378,14,355,37,1.313953488372093,28,3.392857142857143,0.746031746031746,11,1,392,84:find,251,0.15,early,11,1.37,True,4,3.14,5,2.5,True,6,False,False,255,255,True,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-14170,unresolved,under1h,99,136,9,104,24,1.3333333333333333,35,3.857142857142857,0.25,10,1,145,15:cd,33,0.25,early,9,1.0,False,5,3.0,3,2.0,True,2,False,False,8,8,True,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-13346,unresolved,under1h,140,239,31,155,24,1.5714285714285714,82,3.024390243902439,0.36401673640167365,17,2,270,20:cd,85,0.31,early,36,1.03,True,4,2.74,16,7.5,True,6,False,False,40,40,True,False,False,N/A,0,0.0,0,0,0,0,0,0
matplotlib__matplotlib-24870,unresolved,under1h,75,123,17,84,18,1.5466666666666666,42,2.9523809523809526,0.34146341463414637,8,2,140,13:cd,40,0.28,early,14,1.09,True,4,3.46,13,5.25,True,0,False,False,4,4,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-15563,resolved,under1h,124,201,26,140,29,1.4596774193548387,58,3.293103448275862,0.31343283582089554,21,2,227,22:cd,62,0.23,early,13,1.02,True,4,2.57,12,5.5,True,5,False,False,59,58,True,False,False,N/A,1,1.0,1,0,1,0,0,0
astropy__astropy-8872,unresolved,under1h,72,129,13,76,10,1.7222222222222223,53,2.30188679245283,0.4108527131782946,6,2,142,5:cd,54,0.16,early,14,1.05,True,4,3.33,5,2.25,True,1,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-11211,resolved,under1h,110,193,15,142,33,1.481818181818182,87,6.7011494252873565,0.29533678756476683,25,2,208,15:cd,47,0.21,early,10,1.08,True,4,2.7,6,3.5,True,1,False,False,15,14,True,False,False,"('validation',)",1,1.0,1,0,1,0,0,0
django__django-15916,resolved,under1h,75,151,19,93,12,1.76,69,3.1449275362318843,0.40397350993377484,7,2,170,7:cd,56,0.21,early,17,1.39,True,4,3.7,8,4.2,True,0,False,False,6,6,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-17084,unresolved,under1h,155,222,45,163,51,1.3225806451612903,52,4.153846153846154,0.23873873873873874,28,2,267,24:cd,53,0.29,early,13,1.02,True,4,2.45,19,8.25,True,9,False,False,24,24,True,False,False,N/A,0,0.0,0,0,0,0,0,0
