instance,resolution,debug_difficulty,node_count,exec_edge_count,hier_edge_count,step_count,longest_path,avg_out_degree,loop_count,avg_loop_length,backedge_fraction,max_loop_length,min_loop_length,edge_count,most_freq_node,most_freq_node_freq,loc_focus_ratio,loc_dominant_zone,loc_num_clusters,loc_avg_node_freq,repeated_view,max_view_depth,avg_view_depth,max_view_span,avg_view_span,scroll_behavior,num_deep_zooms_without_edit,back_and_forth_switch,zoom_out,patch_total,patch_success,flip_flop,repeat_failed_edit,abandonment,fail_to_success_patterns,fail_streak_max,fail_streak_avg,fail_streak_count,fail_type_not found,fail_type_no change,fail_type_multiple occurrences,fail_type_unknown,fail_type_invalid code
sphinx-doc__sphinx-9698,resolved,under15min,95,160,11,91,21,1.5789473684210527,73,3.863013698630137,0.35625,8,2,171,12:cd,48,0.2,early,15,1.1,True,5,3.57,4,2.8,True,1,False,True,11,11,True,False,False,N/A,0,0,0,0,0,0,0,0
django__django-11066,resolved,under15min,89,170,2,108,10,1.6629213483146068,62,2.774193548387097,0.38823529411764707,6,2,172,4:cd,63,0.44,early,45,1.23,True,3,1.8,4,3.0,True,3,False,True,11,11,True,False,False,N/A,0,0,0,0,0,0,0,0
django__django-11880,resolved,under15min,68,126,6,75,16,1.75,67,3.4776119402985075,0.36507936507936506,11,2,132,6:cd,47,0.16,early,11,1.11,True,4,3.2,3,2.0,True,2,False,False,13,13,True,False,False,N/A,0,0,0,0,0,0,0,0
django__django-15741,resolved,under15min,81,133,6,85,19,1.5925925925925926,50,2.74,0.3609022556390977,13,2,139,3:cd,48,0.22,early,10,1.03,True,3,2.17,4,3.0,True,3,False,False,11,11,True,False,False,N/A,0,0,0,0,0,0,0,0
django__django-13109,resolved,under15min,75,117,17,79,19,1.4933333333333334,48,3.4375,0.3076923076923077,10,2,134,10:cd,34,0.19,early,9,1.1,True,4,2.57,6,2.75,True,5,False,True,18,18,True,False,False,N/A,0,0,0,0,0,0,0,0
django__django-13410,resolved,under15min,49,77,6,52,13,1.530612244897959,27,2.925925925925926,0.33766233766233766,10,2,83,4:cd,26,0.15,mixed,9,1.09,True,3,3.0,3,2.0,True,1,False,True,11,11,True,False,False,N/A,0,0,0,0,0,0,0,0
sphinx-doc__sphinx-7889,resolved,under15min,83,142,17,93,9,1.5783132530120483,50,2.86,0.36619718309859156,5,2,159,5:cd,50,0.29,early,21,1.05,True,4,2.73,7,4.0,True,6,False,False,3,3,False,False,False,N/A,0,0,0,0,0,0,0,0
django__django-15368,resolved,under15min,80,128,13,90,23,1.5,43,3.0930232558139537,0.3203125,13,2,141,11:cd,39,0.3,early,14,1.08,True,4,2.75,7,3.5,True,4,False,True,15,15,True,False,False,N/A,0,0,0,0,0,0,0,0
scikit-learn__scikit-learn-13439,resolved,under15min,57,103,9,62,9,1.719298245614035,43,2.4186046511627906,0.3883495145631068,5,2,112,5:cd,42,0.23,early,17,1.04,True,4,2.8,3,2.5,True,2,False,False,1,1,False,False,False,N/A,0,0,0,0,0,0,0,0
matplotlib__matplotlib-13989,resolved,under15min,64,103,14,68,18,1.53125,35,2.6,0.33980582524271846,8,2,117,11:cd,36,0.16,early,6,1.0,False,5,3.6,4,2.0,True,1,False,False,2,2,False,False,False,N/A,0,0,0,0,0,0,0,0
