instance,resolution,debug_difficulty,node_count,exec_edge_count,hier_edge_count,step_count,longest_path,avg_out_degree,loop_count,avg_loop_length,backedge_fraction,max_loop_length,min_loop_length,edge_count,most_freq_node,most_freq_node_freq,loc_focus_ratio,loc_dominant_zone,loc_num_clusters,loc_avg_node_freq,repeated_view,max_view_depth,avg_view_depth,max_view_span,avg_view_span,scroll_behavior,num_deep_zooms_without_edit,back_and_forth_switch,zoom_out,patch_total,patch_success,flip_flop,repeat_failed_edit,abandonment,fail_to_success_patterns,fail_streak_max,fail_streak_avg,fail_streak_count,fail_type_not found,fail_type_no change,fail_type_multiple occurrences,fail_type_unknown,fail_type_invalid code
django__django-17087,resolved,under15min,70,116,7,77,20,1.5857142857142856,43,2.7209302325581395,0.3448275862068966,10,2,123,17:cd,40,0.26,early,10,1.07,True,4,3.5,3,2.0,True,2,False,False,7,7,True,False,False,N/A,0,0.0,0,0,0,0,0,0
astropy__astropy-8707,unresolved,under1h,81,138,12,90,20,1.5555555555555556,51,3.019607843137255,0.34782608695652173,11,2,150,14:cd,47,0.22,early,6,1.07,True,4,3.0,7,3.5,True,1,False,False,3,3,False,False,False,N/A,0,0.0,0,0,0,0,0,0
pytest-dev__pytest-7490,resolved,under1h,66,116,13,75,7,1.5909090909090908,40,2.75,0.3448275862068966,4,2,129,4:cd,42,0.27,early,19,1.0,False,4,3.22,9,3.25,True,5,False,False,5,5,False,False,False,N/A,0,0.0,0,0,0,0,0,0
scikit-learn__scikit-learn-12973,resolved,under1h,42,69,10,46,14,1.4761904761904763,21,2.619047619047619,0.3188405797101449,6,2,79,9:cd,24,0.21,early,4,1.0,False,5,3.67,3,1.6,True,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-10097,unresolved,under15min,130,309,3,306,61,1.476923076923077,1371,18.652078774617067,0.34951456310679613,40,1,312,68:python3,44,0.15,early,8,1.12,True,3,2.5,2,1.67,False,1,False,False,152,151,True,False,True,N/A,1,1.0,1,0,0,0,1,0
django__django-14053,resolved,under1h,64,122,8,76,10,1.703125,47,2.8085106382978724,0.38524590163934425,6,2,130,6:cd,44,0.2,early,11,1.32,True,3,2.83,5,4.0,True,1,False,True,13,13,True,False,False,N/A,0,0.0,0,0,0,0,0,0
astropy__astropy-12907,resolved,under1h,70,131,10,85,10,1.6571428571428573,51,3.0980392156862746,0.35877862595419846,6,1,141,5:cd,44,0.24,early,15,1.19,True,4,2.92,6,3.75,True,2,False,False,15,15,True,False,False,N/A,0,0.0,0,0,0,0,0,0
sympy__sympy-15809,resolved,under15min,77,132,8,82,13,1.6233766233766234,49,2.510204081632653,0.38636363636363635,8,2,140,6:cd,51,0.29,early,24,1.0,False,3,2.12,4,4.0,True,1,False,False,9,9,True,False,False,N/A,0,0.0,0,0,0,0,0,0
scikit-learn__scikit-learn-10844,resolved,under1h,54,90,5,58,11,1.5925925925925926,34,2.676470588235294,0.37777777777777777,5,2,95,7:cd,33,0.14,early,5,1.08,True,4,3.25,2,1.75,True,1,False,False,3,3,False,False,False,N/A,0,0.0,0,0,0,0,0,0
sphinx-doc__sphinx-10614,unresolved,under1h,214,415,15,282,49,1.4299065420560748,220,10.99090909090909,0.2674698795180723,24,2,430,16:cd,72,0.33,late,53,1.26,True,4,2.86,10,4.5,True,4,False,False,51,51,True,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-15382,resolved,under1h,141,270,51,170,12,1.6099290780141844,87,2.7241379310344827,0.37777777777777777,7,1,321,2:cd,101,0.27,early,44,1.01,True,5,2.67,18,6.8,True,7,False,False,40,32,True,True,False,"('localization',)",5,2.0,4,0,8,0,0,0
