instance,resolution,debug_difficulty,node_count,exec_edge_count,hier_edge_count,step_count,longest_path,avg_out_degree,loop_count,avg_loop_length,backedge_fraction,max_loop_length,min_loop_length,edge_count,most_freq_node,most_freq_node_freq,loc_focus_ratio,loc_dominant_zone,loc_num_clusters,loc_avg_node_freq,repeated_view,max_view_depth,avg_view_depth,max_view_span,avg_view_span,scroll_behavior,num_deep_zooms_without_edit,back_and_forth_switch,zoom_out,patch_total,patch_success,flip_flop,repeat_failed_edit,abandonment,fail_to_success_patterns,fail_streak_max,fail_streak_avg,fail_streak_count,fail_type_not found,fail_type_no change,fail_type_multiple occurrences,fail_type_unknown,fail_type_invalid code
django__django-17087,resolved,under15min,51,77,2,50,16,1.4901960784313726,29,3.586206896551724,0.33766233766233766,12,1,79,5:true,22,0.26,early,11,1.11,True,2,1.33,6,4.0,True,2,False,False,6,4,True,False,True,N/A,1,1.0,2,0,0,0,2,0
astropy__astropy-8707,unsubmitted,under1h,15,14,0,14,14,0.9333333333333333,0,0.0,0.0,0,0,14,0:str_replace_editor: view,1,0.27,early,2,1.0,False,1,1.0,1,1.0,False,0,False,False,8,8,True,False,False,N/A,0,0.0,0,0,0,0,0,0
pytest-dev__pytest-7490,unsubmitted,under1h,21,21,0,21,20,1.0,1,3.0,0.047619047619047616,3,3,21,18:submit,2,0.27,early,2,1.0,False,1,1.0,2,2.0,False,0,False,False,9,9,True,False,False,N/A,0,0.0,0,0,0,0,0,0
scikit-learn__scikit-learn-12973,unsubmitted,under1h,37,46,3,42,26,1.2432432432432432,12,4.25,0.1956521739130435,8,2,49,19:true,5,0.36,early,8,1.13,True,3,1.44,8,3.67,True,2,False,False,7,5,False,True,False,N/A,2,2.0,1,0,0,0,2,0
django__django-10097,unsubmitted,under15min,88,128,0,126,38,1.4431818181818181,40,2.775,0.3125,13,2,128,29:submit,40,0.1,early,8,1.0,False,1,1.0,1,1.0,False,0,False,False,10,8,True,False,True,N/A,1,1.0,2,0,0,0,2,0
django__django-14053,unsubmitted,under1h,28,34,0,28,15,1.2142857142857142,8,4.75,0.17647058823529413,9,3,34,4:true,5,0.23,early,5,1.0,False,1,1.0,2,2.0,False,0,False,False,5,5,True,False,False,N/A,0,0.0,0,0,0,0,0,0
astropy__astropy-12907,unsubmitted,under1h,10,13,0,13,9,1.2,3,2.6666666666666665,0.3076923076923077,4,1,13,6:pytest,4,0.14,early,1,1.0,False,0,0.0,0,0.0,False,0,False,False,4,4,True,False,False,N/A,0,0.0,0,0,0,0,0,0
sympy__sympy-15809,unsubmitted,under15min,24,31,1,24,17,1.2083333333333333,8,6.5,0.22580645161290322,13,1,32,1:str_replace_editor: view,5,0.34,early,2,1.57,True,2,1.14,7,4.0,False,1,False,False,8,7,True,False,True,N/A,1,1.0,1,0,0,0,1,0
sphinx-doc__sphinx-8621,unsubmitted,under15min,45,52,2,49,26,1.1333333333333333,7,5.0,0.1346153846153846,11,2,54,13:python,2,0.3,mixed,9,1.07,True,2,1.67,3,2.5,True,0,False,False,16,15,True,False,False,"('localization',)",1,1.0,1,0,0,0,1,0
scikit-learn__scikit-learn-10844,unsubmitted,under1h,20,20,2,20,19,1.0,1,5.0,0.05,5,5,22,15:submit,2,0.48,early,4,1.0,False,2,1.2,6,3.5,True,0,False,False,5,4,False,False,False,"('localization',)",1,1.0,1,0,0,0,1,0
sphinx-doc__sphinx-10614,unresolved,under1h,46,70,1,53,14,1.3695652173913044,18,3.6666666666666665,0.2857142857142857,8,1,71,6:true,15,0.25,early,9,1.29,True,2,1.14,8,4.5,True,2,False,False,11,10,True,False,False,N/A,1,1.0,1,0,0,0,1,0
django__django-15382,resolved,under1h,53,65,0,56,30,1.2075471698113207,13,5.461538461538462,0.18461538461538463,15,2,65,4:true,7,0.2,early,8,1.18,True,1,1.0,3,3.0,False,0,False,False,22,22,True,False,False,N/A,0,0.0,0,0,0,0,0,0
sympy__sympy-13551,unresolved,under1h,36,48,1,42,15,1.2777777777777777,13,4.769230769230769,0.2708333333333333,7,1,49,17:true,6,0.35,mixed,9,1.21,True,2,1.17,6,3.5,True,0,False,False,15,11,True,False,True,N/A,1,1.0,4,0,0,0,4,0
django__django-11749,unsubmitted,under1h,18,22,0,22,15,1.1666666666666667,4,2.5,0.18181818181818182,4,1,22,4:sed,3,0.3,early,2,1.4,True,1,1.0,5,5.0,True,0,False,False,8,6,True,False,True,N/A,1,1.0,2,0,0,0,2,0
psf__requests-2317,unsubmitted,under15min,27,44,3,32,12,1.4074074074074074,13,3.6153846153846154,0.3409090909090909,6,2,47,7:true,11,0.31,early,7,1.08,True,3,1.4,5,2.33,True,2,False,False,4,4,False,False,False,N/A,0,0.0,0,0,0,0,0,0
scikit-learn__scikit-learn-12585,unsubmitted,under15min,18,24,0,23,15,1.2222222222222223,5,2.4,0.25,5,1,24,4:str_replace_editor: str_replace,5,0.28,early,3,1.4,True,1,1.0,4,4.0,True,0,False,False,10,5,True,True,True,"('general',)",4,2.5,2,0,0,0,5,0
django__django-15128,unsubmitted,under4h,87,105,9,82,40,1.206896551724138,32,10.53125,0.1619047619047619,27,2,114,8:true,13,0.25,early,17,1.04,True,2,1.38,6,3.67,True,1,False,False,22,21,True,False,False,"('localization',)",1,1.0,1,0,0,0,1,0
django__django-17029,resolved,under15min,27,35,2,31,16,1.2592592592592593,8,4.0,0.2571428571428571,11,1,37,1:str_replace_editor: view,4,0.36,early,6,1.44,True,2,1.33,6,4.0,True,0,False,False,8,5,True,True,True,"('general',)",2,1.5,2,0,0,0,3,0
django__django-15741,resolved,under15min,88,117,1,89,50,1.2727272727272727,95,14.694736842105263,0.21367521367521367,37,1,118,23:true,9,0.13,early,6,1.36,True,2,1.17,6,3.5,False,0,False,False,30,27,True,False,True,"('validation',)",1,1.0,3,0,0,0,3,0
pytest-dev__pytest-10051,unsubmitted,under1h,26,26,1,27,25,1.0,1,6.0,0.038461538461538464,6,6,27,20:submit,2,0.3,early,2,1.0,False,2,1.14,7,4.0,True,1,False,False,5,5,True,False,False,N/A,0,0.0,0,0,0,0,0,0
