instance,resolution,debug_difficulty,node_count,exec_edge_count,hier_edge_count,step_count,longest_path,avg_out_degree,loop_count,avg_loop_length,backedge_fraction,max_loop_length,min_loop_length,edge_count,most_freq_node,most_freq_node_freq,loc_focus_ratio,loc_dominant_zone,loc_num_clusters,loc_avg_node_freq,repeated_view,max_view_depth,avg_view_depth,max_view_span,avg_view_span,scroll_behavior,num_deep_zooms_without_edit,back_and_forth_switch,zoom_out,patch_total,patch_success,flip_flop,repeat_failed_edit,abandonment,fail_to_success_patterns,fail_streak_max,fail_streak_avg,fail_streak_count,fail_type_not found,fail_type_no change,fail_type_multiple occurrences,fail_type_unknown,fail_type_invalid code
django__django-17087,unsubmitted,under15min,17,21,8,19,15,1.1176470588235294,3,4.333333333333333,0.14285714285714285,8,2,29,8:think,3,0.59,mixed,4,1.08,True,3,2.67,4,3.0,False,5,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
astropy__astropy-8707,unresolved,under1h,9,10,4,11,8,1.0,1,2.0,0.1,2,2,14,7:think,2,0.45,early,1,1.0,False,3,3.0,2,1.67,False,0,False,False,2,2,False,False,False,N/A,0,0.0,0,0,0,0,0,0
pytest-dev__pytest-7490,unsubmitted,under1h,11,14,0,14,7,1.1818181818181819,3,2.6666666666666665,0.21428571428571427,3,2,14,5:think,4,0.47,early,3,1.0,False,1,1.0,1,1.0,False,1,False,False,0,0,False,False,False,N/A,0,0.0,0,0,0,0,0,0
scikit-learn__scikit-learn-12973,unsubmitted,under1h,19,21,6,18,16,1.0526315789473684,2,3.5,0.09523809523809523,4,3,27,9:cd,2,0.27,early,1,1.0,False,6,6.0,1,1.0,True,0,False,True,3,3,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-10097,unsubmitted,under15min,22,182,1,180,12,1.6818181818181819,18,2.7777777777777777,0.5439560439560439,5,1,183,14:submit,87,0.04,early,5,1.33,True,2,2.0,1,1.0,False,0,False,False,15,11,True,True,True,"('localization',)",3,2.0,2,0,0,0,4,0
django__django-14053,resolved,under1h,22,33,4,30,14,1.3181818181818181,8,3.5,0.24242424242424243,7,2,37,11:python,5,0.18,early,2,1.0,False,4,3.5,2,1.25,True,0,False,False,3,2,False,False,False,"('localization',)",1,1.0,1,1,0,0,0,0
astropy__astropy-12907,resolved,under1h,11,13,2,13,9,1.0909090909090908,2,2.5,0.15384615384615385,3,2,15,4:python,2,0.36,early,1,1.0,False,3,3.0,1,1.0,False,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
sympy__sympy-15809,unsubmitted,under15min,15,16,6,17,12,1.0666666666666667,2,3.0,0.125,4,2,22,9:think,2,0.41,early,2,1.0,False,5,4.0,2,1.4,False,1,False,False,3,3,False,False,False,N/A,0,0.0,0,0,0,0,0,0
sphinx-doc__sphinx-8621,unsubmitted,under15min,19,29,5,24,12,1.263157894736842,6,4.333333333333333,0.20689655172413793,8,2,34,0:cd,6,0.3,early,2,1.0,False,4,3.5,2,1.5,False,1,False,False,2,2,False,False,False,N/A,0,0.0,0,0,0,0,0,0
scikit-learn__scikit-learn-10844,unsubmitted,under1h,13,17,1,13,8,1.3076923076923077,5,2.0,0.29411764705882354,2,2,18,3:python,5,0.56,early,1,1.43,True,2,2.0,1,1.0,False,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
