instance,resolution,debug_difficulty,node_count,exec_edge_count,hier_edge_count,step_count,longest_path,avg_out_degree,loop_count,avg_loop_length,backedge_fraction,max_loop_length,min_loop_length,edge_count,most_freq_node,most_freq_node_freq,loc_focus_ratio,loc_dominant_zone,loc_num_clusters,loc_avg_node_freq,repeated_view,max_view_depth,avg_view_depth,max_view_span,avg_view_span,scroll_behavior,num_deep_zooms_without_edit,back_and_forth_switch,zoom_out,patch_total,patch_success,flip_flop,repeat_failed_edit,abandonment,fail_to_success_patterns,fail_streak_max,fail_streak_avg,fail_streak_count,fail_type_not found,fail_type_no change,fail_type_multiple occurrences,fail_type_unknown,fail_type_invalid code
django__django-17087,resolved,under15min,52,70,1,54,0,1.3269230769230769,19,4.2631578947368425,0.2571428571428571,14,2,71,5:true,17,0.41,mixed,22,1.04,True,2,1.2,5,3.0,True,0,False,False,9,8,True,False,False,"('localization',)",1,1.0,1,0,0,0,1,0
astropy__astropy-8707,unresolved,under1h,64,94,0,76,0,1.328125,107,11.588785046728972,0.26595744680851063,25,2,94,5:true,9,0.23,mixed,20,1.57,True,1,1.0,1,1.0,False,0,False,False,33,32,True,False,False,"('general',)",1,1.0,1,0,0,1,0,0
pytest-dev__pytest-7490,unresolved,under1h,10,9,0,10,0,0.9,0,0.0,0.0,0,0,9,0:pytest,1,0.4,early,3,1.0,False,0,0.0,0,0.0,False,0,False,False,5,5,True,False,False,N/A,0,0.0,0,0,0,0,0,0
scikit-learn__scikit-learn-12973,resolved,under1h,42,51,0,49,0,1.1666666666666667,9,10.11111111111111,0.17647058823529413,28,1,51,3:pytest,5,0.31,early,7,1.07,True,1,1.0,8,8.0,True,1,False,False,6,6,True,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-10097,resolved,under15min,109,170,0,163,0,1.5504587155963303,71,3.704225352112676,0.3588235294117647,12,1,170,17:submit,56,0.08,early,5,1.08,True,1,1.0,2,2.0,True,0,False,False,13,12,True,False,True,N/A,1,1.0,1,0,0,0,1,0
django__django-14053,unresolved,under1h,74,101,0,79,0,1.2972972972972974,73,11.506849315068493,0.2376237623762376,27,1,101,4:true,10,0.12,early,9,1.2,True,1,1.0,2,2.0,False,0,False,False,22,18,True,True,True,N/A,3,2.0,2,0,0,0,4,0
astropy__astropy-12907,resolved,under1h,22,26,1,24,0,1.1818181818181819,5,5.6,0.19230769230769232,14,1,27,0:pytest,4,0.3,early,3,1.0,False,2,1.25,4,2.5,True,1,False,False,7,4,True,True,False,N/A,3,3.0,1,0,0,0,3,0
scikit-learn__scikit-learn-10844,resolved,under1h,22,28,3,28,0,1.2272727272727273,6,4.166666666666667,0.25,9,1,31,4:pytest,7,0.41,early,3,1.0,False,2,1.4,6,4.0,True,0,False,False,4,3,False,False,False,"('localization',)",1,1.0,1,0,0,0,1,0
sphinx-doc__sphinx-10614,unresolved,under1h,43,53,0,49,0,1.2325581395348837,12,6.833333333333333,0.18867924528301888,15,2,53,19:python,6,0.17,early,4,1.12,True,1,1.0,5,5.0,True,1,False,False,16,14,True,False,True,"('localization',)",1,1.0,2,0,0,0,2,0
django__django-15382,resolved,under1h,61,64,0,63,0,1.0491803278688525,4,5.75,0.0625,7,4,64,19:grep,4,0.35,mixed,16,1.15,True,1,1.0,1,1.0,False,0,False,False,24,24,True,False,False,N/A,0,0.0,0,0,0,0,0,0
sympy__sympy-13551,resolved,under1h,44,53,2,45,0,1.1818181818181819,9,5.777777777777778,0.18867924528301888,14,2,55,6:true,9,0.31,early,10,1.06,True,2,1.5,4,3.0,True,0,False,False,9,8,True,False,False,"('localization',)",1,1.0,1,0,0,0,1,0
django__django-11749,resolved,under1h,25,25,0,23,0,1.0,1,6.0,0.04,6,6,25,11:true,2,0.31,early,6,1.0,False,0,0.0,0,0.0,False,0,False,False,9,9,True,False,False,N/A,0,0.0,0,0,0,0,0,0
psf__requests-2317,unresolved,under15min,28,38,4,34,0,1.2857142857142858,10,4.5,0.2894736842105263,9,1,42,0:pytest,8,0.33,early,4,1.0,False,3,1.5,6,3.0,True,3,False,False,3,3,False,False,False,N/A,0,0.0,0,0,0,0,0,0
scikit-learn__scikit-learn-12585,resolved,under15min,20,25,1,24,0,1.2,5,4.2,0.24,9,1,26,14:pytest,3,0.35,early,6,1.0,False,2,1.5,2,1.5,True,0,False,True,4,2,False,True,False,"('localization',)",2,2.0,1,0,0,0,2,0
