instance,resolution,debug_difficulty,node_count,exec_edge_count,hier_edge_count,step_count,longest_path,avg_out_degree,loop_count,avg_loop_length,backedge_fraction,max_loop_length,min_loop_length,edge_count,most_freq_node,most_freq_node_freq,loc_focus_ratio,loc_dominant_zone,loc_num_clusters,loc_avg_node_freq,repeated_view,max_view_depth,avg_view_depth,max_view_span,avg_view_span,scroll_behavior,num_deep_zooms_without_edit,back_and_forth_switch,zoom_out,patch_total,patch_success,flip_flop,repeat_failed_edit,abandonment,fail_to_success_patterns,fail_streak_max,fail_streak_avg,fail_streak_count,fail_type_not found,fail_type_no change,fail_type_multiple occurrences,fail_type_unknown,fail_type_invalid code
django__django-17087,resolved,under15min,26,37,6,29,14,1.3076923076923077,10,3.9,0.21621621621621623,7,1,43,6:cd,6,0.24,early,4,1.12,True,3,2.4,5,2.67,False,3,False,False,10,10,True,False,False,N/A,0,0.0,0,0,0,0,0,0
astropy__astropy-8707,unresolved,under1h,8,11,4,12,6,1.125,2,2.5,0.18181818181818182,3,2,15,5:think,3,0.5,early,2,1.2,True,4,3.5,3,1.5,True,0,False,True,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
pytest-dev__pytest-7490,resolved,under1h,16,16,6,16,15,1.0,1,3.0,0.0625,3,3,22,13:submit,2,0.35,early,1,1.0,False,3,2.75,3,2.0,False,3,False,True,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
scikit-learn__scikit-learn-12973,unresolved,under1h,9,11,3,12,7,1.2222222222222223,3,3.3333333333333335,0.2727272727272727,7,1,14,0:think,3,0.42,early,1,1.0,False,3,2.5,2,1.33,False,1,False,True,2,2,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-10097,resolved,under15min,24,89,4,90,17,2.0416666666666665,134,5.723880597014926,0.43820224719101125,11,1,93,6:think,29,0.29,mixed,14,2.36,True,4,4.0,9,4.5,True,1,False,True,6,6,True,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-14053,resolved,under1h,11,18,2,16,8,1.3636363636363635,5,1.6,0.3888888888888889,2,1,20,5:python,6,0.16,early,1,1.0,False,3,3.0,1,1.0,False,0,False,False,2,2,False,False,False,N/A,0,0.0,0,0,0,0,0,0
astropy__astropy-12907,resolved,under1h,7,10,2,11,5,1.1428571428571428,2,1.5,0.4,2,1,12,6:think,4,0.45,early,1,1.0,False,3,3.0,1,1.0,False,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
sympy__sympy-15809,resolved,under15min,19,24,10,24,14,1.2105263157894737,6,6.333333333333333,0.16666666666666666,11,3,34,1:think,4,0.56,early,3,1.17,True,5,3.8,4,2.6,True,3,False,True,2,2,False,False,False,N/A,0,0.0,0,0,0,0,0,0
sphinx-doc__sphinx-8621,unresolved,under15min,10,14,4,15,7,1.3,4,2.25,0.2857142857142857,3,1,18,7:think,4,0.67,early,3,1.25,True,3,2.25,5,2.67,True,2,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
scikit-learn__scikit-learn-10844,resolved,under1h,9,11,1,12,7,1.2222222222222223,3,3.3333333333333335,0.2727272727272727,6,2,12,0:think,2,0.33,early,1,1.0,False,2,2.0,1,1.0,False,0,False,False,2,2,False,False,False,N/A,0,0.0,0,0,0,0,0,0
sphinx-doc__sphinx-10614,unresolved,under1h,7,9,2,10,6,1.1428571428571428,2,4.0,0.2222222222222222,6,2,11,0:think,3,0.3,early,1,1.0,False,3,3.0,1,1.0,False,0,False,False,2,2,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-15382,resolved,under1h,18,20,3,20,15,1.1111111111111112,3,2.0,0.15,2,2,23,11:python,3,0.43,early,2,1.0,False,2,2.0,3,2.5,False,1,False,False,2,2,False,False,False,N/A,0,0.0,0,0,0,0,0,0
sympy__sympy-13551,unresolved,under1h,31,44,3,45,17,1.4193548387096775,16,3.6875,0.3181818181818182,10,1,47,3:python,8,0.13,early,3,1.0,False,3,2.5,2,1.33,False,0,False,False,21,15,False,True,False,"('general',)",2,2.0,3,6,0,0,0,0
django__django-11749,unresolved,under1h,33,49,10,46,18,1.3636363636363635,13,2.4615384615384617,0.2653061224489796,4,2,59,14:python,13,0.18,early,3,1.0,False,4,3.25,4,2.25,True,1,False,False,16,14,False,False,False,"('localization',)",1,1.0,2,2,0,0,0,0
psf__requests-2317,unresolved,under15min,37,50,2,50,13,1.3243243243243243,13,3.3846153846153846,0.26,8,2,52,4:python,12,0.14,early,3,1.0,False,2,1.5,3,2.5,False,0,False,False,27,27,False,False,False,N/A,0,0.0,0,0,0,0,0,0
scikit-learn__scikit-learn-12585,resolved,under15min,9,12,0,14,6,1.3333333333333333,4,2.75,0.3333333333333333,3,2,12,0:think,3,0.23,early,1,1.0,False,1,1.0,1,1.0,False,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-15128,unresolved,under4h,6,7,2,8,4,1.1666666666666667,2,1.5,0.2857142857142857,2,1,9,3:think,2,0.38,early,1,1.0,False,2,2.0,2,1.5,False,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-17029,resolved,under15min,15,20,3,21,8,1.3333333333333333,6,2.3333333333333335,0.3,4,1,23,5:think,4,0.19,early,1,1.0,False,4,4.0,1,1.0,False,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-15741,unresolved,under15min,6,7,0,8,5,1.0,1,3.0,0.14285714285714285,3,3,7,3:think,2,0.12,early,1,1.0,False,1,1.0,1,1.0,False,0,False,False,3,3,False,False,False,N/A,0,0.0,0,0,0,0,0,0
pytest-dev__pytest-10051,unresolved,under1h,11,14,2,13,8,1.1818181818181819,4,5.0,0.21428571428571427,6,4,16,3:think,3,0.27,early,2,1.0,False,3,3.0,1,1.0,False,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
scikit-learn__scikit-learn-25931,unresolved,under1h,21,32,5,33,10,1.4761904761904763,14,4.0,0.375,7,1,37,2:python,7,0.27,early,2,1.12,True,4,4.0,4,1.75,True,0,False,False,10,7,False,False,False,"('localization', 'validation')",3,3.0,1,3,0,0,0,0
django__django-13670,resolved,under1h,14,18,2,17,10,1.2142857142857142,4,3.5,0.2222222222222222,6,1,20,3:think,2,0.16,early,2,1.0,False,3,3.0,1,1.0,False,0,False,False,2,2,False,False,False,N/A,0,0.0,0,0,0,0,0,0
sympy__sympy-14711,resolved,under15min,8,9,0,10,6,1.125,2,2.5,0.2222222222222222,3,2,9,1:python,2,0.3,early,1,1.0,False,1,1.0,1,1.0,False,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
