instance,resolution,debug_difficulty,node_count,exec_edge_count,hier_edge_count,step_count,longest_path,avg_out_degree,loop_count,avg_loop_length,backedge_fraction,max_loop_length,min_loop_length,edge_count,most_freq_node,most_freq_node_freq,loc_focus_ratio,loc_dominant_zone,loc_num_clusters,loc_avg_node_freq,repeated_view,max_view_depth,avg_view_depth,max_view_span,avg_view_span,scroll_behavior,num_deep_zooms_without_edit,back_and_forth_switch,zoom_out,patch_total,patch_success,flip_flop,repeat_failed_edit,abandonment,fail_to_success_patterns,fail_streak_max,fail_streak_avg,fail_streak_count,fail_type_not found,fail_type_no change,fail_type_multiple occurrences,fail_type_unknown,fail_type_invalid code
django__django-17087,unsubmitted,under15min,39,46,8,37,28,1.1794871794871795,8,2.875,0.17391304347826086,7,1,54,6:true,6,0.4,early,8,1.06,True,2,1.4,5,3.5,True,1,False,False,8,8,True,False,False,N/A,0,0.0,0,0,0,0,0,0
astropy__astropy-8707,unsubmitted,under1h,43,46,3,47,33,1.069767441860465,4,6.25,0.08695652173913043,11,2,49,21:str_replace_editor: str_replace,2,0.32,early,6,1.0,False,2,1.25,12,7.5,True,2,False,False,7,4,False,True,False,"('general',)",2,1.5,2,0,0,0,3,0
pytest-dev__pytest-7490,unsubmitted,under1h,30,33,0,31,24,1.1,4,2.5,0.12121212121212122,4,1,33,9:true,3,0.26,early,4,1.12,True,1,1.0,3,3.0,False,0,False,False,17,15,True,False,True,N/A,1,1.0,2,0,0,1,1,0
scikit-learn__scikit-learn-12973,unsubmitted,under1h,26,28,4,26,24,1.0769230769230769,3,3.0,0.10714285714285714,5,2,32,0:str_replace_editor: view,2,0.52,early,5,1.07,True,3,1.38,9,4.0,True,2,False,False,3,2,False,False,False,"('localization',)",1,1.0,1,0,0,0,1,0
django__django-10097,unsubmitted,under15min,138,244,0,239,23,1.681159420289855,104,2.8365384615384617,0.42213114754098363,13,1,244,34:submit,83,0.01,early,2,1.5,True,1,1.0,3,3.0,False,0,False,False,14,13,True,False,True,"('general',)",1,1.0,1,0,0,0,1,0
django__django-14053,unsubmitted,under1h,27,28,1,27,25,1.037037037037037,2,5.0,0.07142857142857142,8,2,29,1:str_replace_editor: view,2,0.31,early,4,1.12,True,2,1.25,4,2.5,False,0,False,False,6,5,True,False,False,"('localization',)",1,1.0,1,0,0,0,1,0
astropy__astropy-12907,resolved,under1h,21,26,0,20,14,1.2380952380952381,7,6.142857142857143,0.23076923076923078,11,2,26,4:true,4,0.19,early,1,1.25,True,1,1.0,3,3.0,False,0,False,False,5,5,True,False,False,N/A,0,0.0,0,0,0,0,0,0
sympy__sympy-15809,unsubmitted,under15min,25,32,0,25,19,1.2,6,3.8333333333333335,0.15625,7,2,32,15:true,4,0.18,early,2,1.2,True,1,1.0,3,3.0,False,0,False,False,9,7,True,False,True,N/A,1,1.0,2,0,0,0,2,0
sphinx-doc__sphinx-8621,resolved,under15min,57,71,1,59,33,1.2456140350877194,26,10.5,0.2112676056338028,21,1,72,15:true,5,0.21,early,8,1.36,True,2,1.25,4,2.5,False,0,False,False,16,14,True,True,True,N/A,1,1.0,2,0,0,0,2,0
scikit-learn__scikit-learn-10844,unsubmitted,under1h,25,28,1,27,23,1.12,4,2.5,0.14285714285714285,4,1,29,1:str_replace_editor: view,3,0.34,early,2,1.25,True,2,1.25,4,2.5,False,0,False,False,10,9,True,False,True,N/A,1,1.0,1,0,0,0,1,0
