instance,resolution,debug_difficulty,node_count,exec_edge_count,hier_edge_count,step_count,longest_path,avg_out_degree,loop_count,avg_loop_length,backedge_fraction,max_loop_length,min_loop_length,edge_count,most_freq_node,most_freq_node_freq,loc_focus_ratio,loc_dominant_zone,loc_num_clusters,loc_avg_node_freq,repeated_view,max_view_depth,avg_view_depth,max_view_span,avg_view_span,scroll_behavior,num_deep_zooms_without_edit,back_and_forth_switch,zoom_out,patch_total,patch_success,flip_flop,repeat_failed_edit,abandonment,fail_to_success_patterns,fail_streak_max,fail_streak_avg,fail_streak_count,fail_type_not found,fail_type_no change,fail_type_multiple occurrences,fail_type_unknown,fail_type_invalid code
instance_internetarchive__openlibrary-5069b09e5f64428dce59b33455c8bb17fe577070-v8717e18970bcdc4e0d2cea3b1527752b21e74866,resolved,unknown,40,47,5,42,29,1.175,9,6.555555555555555,0.1702127659574468,19,1,52,10:true,5,0.35,mixed,11,1.0,False,3,2.0,3,2.0,True,0,False,False,18,13,True,True,True,N/A,4,2.5,2,0,0,0,5,0
instance_qutebrowser__qutebrowser-e64622cd2df5b521342cf4a62e0d4cb8f8c9ae5a-v363c8a7e5ccdf6968fc7ab84a2053ac78036691d,resolved,unknown,26,36,0,30,15,1.3846153846153846,11,2.1818181818181817,0.3055555555555556,3,1,36,6:true,7,0.49,early,8,1.29,True,1,1.0,8,8.0,False,1,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
instance_qutebrowser__qutebrowser-96b997802e942937e81d2b8a32d08f00d3f4bc4e-v5fc38aaf22415ab0b70567368332beee7955b367,resolved,unknown,29,40,0,34,16,1.3448275862068966,11,2.6363636363636362,0.3,8,1,40,9:true,7,0.41,early,8,1.31,True,1,1.0,8,8.0,True,3,False,False,8,7,True,False,False,N/A,1,1.0,1,0,0,0,1,0
instance_internetarchive__openlibrary-3aeec6afed9198d734b7ee1293f03ca94ff970e1-v13642507b4fc1f8d234172bf8129942da2c2ca26,resolved,unknown,24,38,1,34,14,1.4583333333333333,12,3.3333333333333335,0.34210526315789475,8,1,39,7:true,5,0.36,early,7,1.4,True,2,1.2,6,3.5,True,1,False,False,11,10,True,False,False,N/A,1,1.0,1,0,0,0,1,0
instance_ansible__ansible-12734fa21c08a0ce8c84e533abdc560db2eb1955-v7eee2454f617569fd6889f2211f75bc02a35f9f8,unresolved,unknown,50,73,3,52,23,1.34,24,5.833333333333333,0.2602739726027397,17,2,76,11:true,14,0.2,early,10,1.07,True,3,1.67,3,1.67,True,0,False,False,21,16,True,True,False,"('general',)",3,1.67,3,0,0,0,5,0
instance_ansible__ansible-b2a289dcbb702003377221e25f62c8a3608f0e89-v173091e2e36d38c978002990795f66cfc0af30ad,unresolved,unknown,56,85,3,58,16,1.4107142857142858,29,3.9655172413793105,0.3411764705882353,6,1,88,6:true,16,0.23,early,10,1.43,True,2,1.12,8,5.0,True,1,False,False,21,18,True,False,True,"('validation',)",1,1.0,3,0,0,0,3,0
instance_qutebrowser__qutebrowser-34a13afd36b5e529d553892b1cd8b9d5ce8881c4-vafb3e8e01b31319c66c4e666b8a3b1d8ba55db24,resolved,unknown,29,41,0,38,20,1.2413793103448276,11,8.0,0.2682926829268293,14,1,41,17:pytest,8,0.14,early,4,1.0,False,1,1.0,2,2.0,False,0,False,False,15,12,True,True,True,"('general',)",2,1.5,2,0,0,0,3,0
instance_ansible__ansible-0ea40e09d1b35bcb69ff4d9cecf3d0defa4b36e8-v30a923fb5c164d6cd18280c02422f75e611e8fb2,resolved,unknown,30,33,3,33,26,1.1,4,3.75,0.12121212121212122,7,1,36,10:str_replace_editor: str_replace,3,0.35,middle,4,1.0,False,3,1.67,3,1.67,True,0,False,False,15,12,True,True,False,"('localization', 'general')",2,1.5,2,0,0,0,3,0
instance_internetarchive__openlibrary-4a5d2a7d24c9e4c11d3069220c0685b736d5ecde-v13642507b4fc1f8d234172bf8129942da2c2ca26,resolved,unknown,18,26,0,22,10,1.3888888888888888,8,2.625,0.3076923076923077,6,1,26,4:true,5,0.3,early,6,1.33,True,1,1.0,2,2.0,False,0,False,False,7,6,True,False,False,N/A,1,1.0,1,0,1,0,0,0
instance_ansible__ansible-a6e671db25381ed111bbad0ab3e7d97366395d05-v0f01c69f1e2528b935359cfe578530722bca2c59,unresolved,unknown,38,62,3,46,12,1.4736842105263157,20,3.5,0.3709677419354839,7,1,65,7:true,17,0.27,early,9,1.13,True,3,1.29,7,3.0,True,2,False,False,9,8,True,False,False,N/A,1,1.0,1,0,0,0,1,0
instance_internetarchive__openlibrary-2fe532a33635aab7a9bfea5d977f6a72b280a30c-v0f5aece3601a5b4419f7ccec1dbda2071be28ee4,resolved,unknown,34,42,4,34,18,1.2058823529411764,8,4.5,0.19047619047619047,13,2,46,6:true,6,0.51,early,7,1.05,True,2,1.5,9,6.5,True,3,False,False,5,4,False,False,False,"('localization',)",1,1.0,1,1,0,0,0,0
instance_ansible__ansible-ed6581e4db2f1bec5a772213c3e186081adc162d-v0f01c69f1e2528b935359cfe578530722bca2c59,resolved,unknown,23,29,2,24,14,1.2173913043478262,6,3.8333333333333335,0.20689655172413793,8,2,31,5:true,3,0.47,early,5,1.17,True,2,1.33,6,4.0,True,1,False,False,2,2,False,False,False,N/A,0,0.0,0,0,0,0,0,0
instance_internetarchive__openlibrary-de6ae10512f1b5ef585c8341b451bc49c9fd4996-vfa6ff903cb27f336e17654595dd900fa943dcd91,unresolved,unknown,101,154,5,122,21,1.4851485148514851,123,6.7317073170731705,0.3181818181818182,14,1,159,4:true,21,0.21,early,19,1.28,True,2,1.36,9,7.0,True,1,False,False,27,24,True,True,True,N/A,2,1.5,2,0,0,0,3,0
instance_qutebrowser__qutebrowser-3fd8e12949b8feda401930574facf09dd4180bba,unresolved,unknown,76,99,27,75,43,1.263157894736842,40,9.325,0.2222222222222222,22,2,126,4:true,14,0.39,early,23,1.08,True,4,2.27,9,6.0,True,4,False,False,23,16,False,True,False,"('localization',)",2,1.17,6,3,3,0,1,0
