instance,resolution,debug_difficulty,node_count,exec_edge_count,hier_edge_count,step_count,longest_path,avg_out_degree,loop_count,avg_loop_length,backedge_fraction,max_loop_length,min_loop_length,edge_count,most_freq_node,most_freq_node_freq,loc_focus_ratio,loc_dominant_zone,loc_num_clusters,loc_avg_node_freq,repeated_view,max_view_depth,avg_view_depth,max_view_span,avg_view_span,scroll_behavior,num_deep_zooms_without_edit,back_and_forth_switch,zoom_out,patch_total,patch_success,flip_flop,repeat_failed_edit,abandonment,fail_to_success_patterns,fail_streak_max,fail_streak_avg,fail_streak_count,fail_type_not found,fail_type_no change,fail_type_multiple occurrences,fail_type_unknown,fail_type_invalid code
instance_internetarchive__openlibrary-5069b09e5f64428dce59b33455c8bb17fe577070-v8717e18970bcdc4e0d2cea3b1527752b21e74866,resolved,unknown,30,41,3,39,21,1.2,7,4.714285714285714,0.2926829268292683,13,1,44,1:str_replace_editor: view,8,0.45,early,4,1.58,True,3,1.18,11,4.33,True,2,False,True,12,10,True,False,True,N/A,1,1.0,2,0,0,0,2,0
instance_qutebrowser__qutebrowser-e64622cd2df5b521342cf4a62e0d4cb8f8c9ae5a-v363c8a7e5ccdf6968fc7ab84a2053ac78036691d,unresolved,unknown,32,40,3,41,20,1.25,9,2.3333333333333335,0.225,4,1,43,21:str_replace_editor: str_replace,5,0.29,early,4,1.2,True,2,1.38,8,5.5,True,3,False,False,10,10,True,False,False,N/A,0,0.0,0,0,0,0,0,0
instance_qutebrowser__qutebrowser-96b997802e942937e81d2b8a32d08f00d3f4bc4e-v5fc38aaf22415ab0b70567368332beee7955b367,resolved,unknown,28,36,1,31,18,1.25,8,4.75,0.2222222222222222,14,2,37,9:true,6,0.41,mixed,8,1.07,True,2,1.25,4,2.5,False,1,False,False,8,7,True,False,True,N/A,1,1.0,1,0,0,0,1,0
instance_internetarchive__openlibrary-3aeec6afed9198d734b7ee1293f03ca94ff970e1-v13642507b4fc1f8d234172bf8129942da2c2ca26,resolved,unknown,23,31,1,30,14,1.3478260869565217,9,3.5555555555555554,0.2903225806451613,10,1,32,14:pytest,4,0.41,early,4,1.18,True,2,1.17,6,3.5,False,2,False,False,7,4,True,True,True,"('localization',)",2,1.5,2,0,0,0,3,0
instance_ansible__ansible-12734fa21c08a0ce8c84e533abdc560db2eb1955-v7eee2454f617569fd6889f2211f75bc02a35f9f8,resolved,unknown,62,102,1,75,22,1.3225806451612903,23,4.260869565217392,0.29411764705882354,15,2,103,9:true,25,0.19,mixed,15,1.25,True,2,1.2,5,3.0,True,1,False,False,27,24,True,False,True,"('validation', 'localization', 'validation')",1,1.0,3,0,0,0,3,0
instance_ansible__ansible-b2a289dcbb702003377221e25f62c8a3608f0e89-v173091e2e36d38c978002990795f66cfc0af30ad,unresolved,unknown,48,74,0,53,16,1.4166666666666667,27,4.666666666666667,0.32432432432432434,9,1,74,6:true,17,0.21,early,15,1.23,True,1,1.0,2,2.0,False,0,False,False,24,23,True,False,False,"('localization',)",1,1.0,1,0,0,0,1,0
instance_qutebrowser__qutebrowser-34a13afd36b5e529d553892b1cd8b9d5ce8881c4-vafb3e8e01b31319c66c4e666b8a3b1d8ba55db24,resolved,unknown,32,43,1,38,20,1.25,9,4.222222222222222,0.20930232558139536,9,1,44,5:true,5,0.23,early,4,1.43,True,2,1.25,5,3.0,True,1,False,False,16,13,True,True,True,"('validation',)",2,1.5,2,0,0,0,3,0
instance_ansible__ansible-0ea40e09d1b35bcb69ff4d9cecf3d0defa4b36e8-v30a923fb5c164d6cd18280c02422f75e611e8fb2,resolved,unknown,27,32,0,30,17,1.1851851851851851,8,5.5,0.1875,9,2,32,9:true,3,0.21,early,5,1.0,False,1,1.0,2,2.0,False,0,False,False,11,10,True,False,False,N/A,1,1.0,1,0,0,0,1,0
instance_internetarchive__openlibrary-4a5d2a7d24c9e4c11d3069220c0685b736d5ecde-v13642507b4fc1f8d234172bf8129942da2c2ca26,unresolved,unknown,51,72,13,56,23,1.3529411764705883,32,6.125,0.2638888888888889,12,1,85,8:true,9,0.34,early,9,1.32,True,2,1.5,4,3.0,True,1,False,False,18,12,True,True,True,N/A,3,2.0,3,0,0,0,6,0
instance_ansible__ansible-a6e671db25381ed111bbad0ab3e7d97366395d05-v0f01c69f1e2528b935359cfe578530722bca2c59,resolved,unknown,40,52,4,44,18,1.3,13,3.230769230769231,0.25,9,1,56,5:true,8,0.34,early,8,1.06,True,3,1.6,5,2.67,True,1,False,False,18,14,True,True,True,N/A,1,1.0,4,0,0,0,4,0
