instance,resolution,debug_difficulty,node_count,exec_edge_count,hier_edge_count,step_count,longest_path,avg_out_degree,loop_count,avg_loop_length,backedge_fraction,max_loop_length,min_loop_length,edge_count,most_freq_node,most_freq_node_freq,loc_focus_ratio,loc_dominant_zone,loc_num_clusters,loc_avg_node_freq,repeated_view,max_view_depth,avg_view_depth,max_view_span,avg_view_span,scroll_behavior,num_deep_zooms_without_edit,back_and_forth_switch,zoom_out,patch_total,patch_success,flip_flop,repeat_failed_edit,abandonment,fail_to_success_patterns,fail_streak_max,fail_streak_avg,fail_streak_count,fail_type_not found,fail_type_no change,fail_type_multiple occurrences,fail_type_unknown,fail_type_invalid code
instance_internetarchive__openlibrary-5069b09e5f64428dce59b33455c8bb17fe577070-v8717e18970bcdc4e0d2cea3b1527752b21e74866,resolved,unknown,43,55,3,48,25,1.255813953488372,12,3.1666666666666665,0.21818181818181817,6,1,58,5:true,8,0.39,mixed,12,1.22,True,3,1.25,8,3.33,True,1,False,False,16,14,True,False,True,N/A,1,1.0,2,0,1,0,1,0
instance_qutebrowser__qutebrowser-e64622cd2df5b521342cf4a62e0d4cb8f8c9ae5a-v363c8a7e5ccdf6968fc7ab84a2053ac78036691d,resolved,unknown,36,49,5,40,13,1.3333333333333333,14,3.857142857142857,0.2857142857142857,9,2,54,5:true,9,0.56,mixed,9,1.12,True,2,1.56,9,7.0,True,5,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
instance_qutebrowser__qutebrowser-96b997802e942937e81d2b8a32d08f00d3f4bc4e-v5fc38aaf22415ab0b70567368332beee7955b367,resolved,unknown,36,51,0,38,12,1.3888888888888888,15,3.2666666666666666,0.3137254901960784,8,2,51,6:true,14,0.33,mixed,13,1.06,True,1,1.0,1,1.0,False,0,False,False,10,10,True,False,False,N/A,0,0.0,0,0,0,0,0,0
instance_internetarchive__openlibrary-3aeec6afed9198d734b7ee1293f03ca94ff970e1-v13642507b4fc1f8d234172bf8129942da2c2ca26,unresolved,unknown,28,40,0,37,16,1.3928571428571428,15,5.2,0.3,13,1,40,14:pytest,7,0.22,early,6,1.0,False,1,1.0,2,2.0,False,0,False,False,15,9,True,True,True,N/A,4,2.0,3,0,0,0,6,0
instance_ansible__ansible-12734fa21c08a0ce8c84e533abdc560db2eb1955-v7eee2454f617569fd6889f2211f75bc02a35f9f8,resolved,unknown,47,61,1,50,20,1.2765957446808511,16,5.25,0.2459016393442623,12,2,62,7:true,9,0.16,early,7,1.0,False,2,1.33,3,2.0,True,0,False,False,27,23,True,True,True,"('validation',)",1,1.0,4,0,0,0,4,0
instance_ansible__ansible-b2a289dcbb702003377221e25f62c8a3608f0e89-v173091e2e36d38c978002990795f66cfc0af30ad,unresolved,unknown,50,66,0,48,26,1.28,27,8.814814814814815,0.22727272727272727,16,2,66,11:true,9,0.18,early,9,1.09,True,1,1.0,3,3.0,False,0,False,False,20,17,True,False,True,N/A,1,1.0,3,0,0,0,3,0
instance_qutebrowser__qutebrowser-34a13afd36b5e529d553892b1cd8b9d5ce8881c4-vafb3e8e01b31319c66c4e666b8a3b1d8ba55db24,resolved,unknown,34,38,2,39,28,1.088235294117647,4,3.75,0.13157894736842105,8,1,40,21:bash,4,0.13,early,2,1.0,False,2,1.67,3,2.5,True,1,False,False,6,6,False,False,False,N/A,0,0.0,0,0,0,0,0,0
instance_ansible__ansible-0ea40e09d1b35bcb69ff4d9cecf3d0defa4b36e8-v30a923fb5c164d6cd18280c02422f75e611e8fb2,unresolved,unknown,33,39,4,29,20,1.1818181818181819,8,5.125,0.15384615384615385,8,2,43,16:true,5,0.25,early,3,1.0,False,3,1.6,4,2.33,True,0,False,False,7,4,False,True,True,N/A,1,1.0,3,0,0,0,3,0
instance_internetarchive__openlibrary-4a5d2a7d24c9e4c11d3069220c0685b736d5ecde-v13642507b4fc1f8d234172bf8129942da2c2ca26,unresolved,unknown,3,3,0,4,2,1.0,1,2.0,0.3333333333333333,2,2,3,0:str_replace_editor: view,2,0.75,mixed,1,1.5,True,1,1.0,3,3.0,True,1,False,False,0,0,False,False,False,N/A,0,0.0,0,0,0,0,0,0
instance_ansible__ansible-a6e671db25381ed111bbad0ab3e7d97366395d05-v0f01c69f1e2528b935359cfe578530722bca2c59,unresolved,unknown,1,0,0,1,0,0.0,0,0.0,0.0,0,0,0,0:think,1,0.0,none,0,0.0,False,0,0.0,0,0.0,False,0,False,False,0,0,False,False,False,N/A,0,0.0,0,0,0,0,0,0
instance_internetarchive__openlibrary-2fe532a33635aab7a9bfea5d977f6a72b280a30c-v0f5aece3601a5b4419f7ccec1dbda2071be28ee4,unresolved,unknown,39,48,8,37,20,1.1794871794871795,8,5.0,0.1875,15,2,56,5:true,8,0.35,early,7,1.06,True,3,1.86,7,4.33,True,1,False,False,9,6,True,False,True,N/A,2,1.5,2,0,0,0,3,0
instance_ansible__ansible-ed6581e4db2f1bec5a772213c3e186081adc162d-v0f01c69f1e2528b935359cfe578530722bca2c59,resolved,unknown,28,33,2,31,17,1.1785714285714286,7,5.0,0.18181818181818182,11,2,35,6:true,3,0.35,early,4,1.09,True,2,1.33,6,4.0,True,1,False,False,11,8,True,True,True,N/A,2,1.5,2,0,0,0,3,0
