instance,resolution,debug_difficulty,node_count,exec_edge_count,hier_edge_count,step_count,longest_path,avg_out_degree,loop_count,avg_loop_length,backedge_fraction,max_loop_length,min_loop_length,edge_count,most_freq_node,most_freq_node_freq,loc_focus_ratio,loc_dominant_zone,loc_num_clusters,loc_avg_node_freq,repeated_view,max_view_depth,avg_view_depth,max_view_span,avg_view_span,scroll_behavior,num_deep_zooms_without_edit,back_and_forth_switch,zoom_out,patch_total,patch_success,flip_flop,repeat_failed_edit,abandonment,fail_to_success_patterns,fail_streak_max,fail_streak_avg,fail_streak_count,fail_type_not found,fail_type_no change,fail_type_multiple occurrences,fail_type_unknown,fail_type_invalid code
instance_internetarchive__openlibrary-5069b09e5f64428dce59b33455c8bb17fe577070-v8717e18970bcdc4e0d2cea3b1527752b21e74866,unresolved,unknown,62,92,0,61,34,1.4193548387096775,176,13.068181818181818,0.2826086956521739,24,1,92,3:true,9,0.14,early,10,1.0,False,1,1.0,3,3.0,False,0,False,False,22,21,True,False,True,N/A,1,1.0,1,0,0,0,1,0
instance_qutebrowser__qutebrowser-e64622cd2df5b521342cf4a62e0d4cb8f8c9ae5a-v363c8a7e5ccdf6968fc7ab84a2053ac78036691d,unresolved,unknown,30,39,5,30,13,1.2333333333333334,8,4.5,0.20512820512820512,7,2,44,6:true,6,0.42,early,4,1.0,False,3,1.67,6,3.33,True,3,False,False,2,2,True,False,False,N/A,0,0.0,0,0,0,0,0,0
instance_qutebrowser__qutebrowser-96b997802e942937e81d2b8a32d08f00d3f4bc4e-v5fc38aaf22415ab0b70567368332beee7955b367,resolved,unknown,26,34,9,28,19,1.1923076923076923,6,2.3333333333333335,0.14705882352941177,3,2,43,5:true,7,0.51,mixed,9,1.12,True,3,1.5,4,2.67,True,1,False,False,5,4,False,False,False,"('localization',)",1,1.0,1,0,0,0,1,0
instance_internetarchive__openlibrary-3aeec6afed9198d734b7ee1293f03ca94ff970e1-v13642507b4fc1f8d234172bf8129942da2c2ca26,resolved,unknown,26,30,0,27,22,1.1538461538461537,5,3.8,0.16666666666666666,10,1,30,11:true,3,0.32,early,6,1.0,False,1,1.0,2,2.0,False,0,False,False,8,5,True,True,True,N/A,2,1.5,2,0,0,0,3,0
instance_ansible__ansible-12734fa21c08a0ce8c84e533abdc560db2eb1955-v7eee2454f617569fd6889f2211f75bc02a35f9f8,resolved,unknown,39,50,6,41,17,1.2307692307692308,10,5.2,0.24,10,1,56,8:true,7,0.29,early,7,1.07,True,4,1.5,7,2.5,True,2,False,False,14,12,True,True,False,"('localization',)",1,1.0,2,0,0,0,2,0
instance_ansible__ansible-b2a289dcbb702003377221e25f62c8a3608f0e89-v173091e2e36d38c978002990795f66cfc0af30ad,unresolved,unknown,18,22,1,16,10,1.2222222222222223,5,3.0,0.22727272727272727,5,2,23,6:true,6,0.65,mixed,7,1.0,False,2,1.14,7,4.0,True,4,False,False,0,0,False,False,False,N/A,0,0.0,0,0,0,0,0,0
instance_qutebrowser__qutebrowser-34a13afd36b5e529d553892b1cd8b9d5ce8881c4-vafb3e8e01b31319c66c4e666b8a3b1d8ba55db24,resolved,unknown,27,34,1,30,19,1.1851851851851851,6,3.6666666666666665,0.20588235294117646,11,1,35,4:true,5,0.31,mixed,6,1.38,True,2,1.25,4,2.5,True,0,False,False,10,10,True,False,False,N/A,0,0.0,0,0,0,0,0,0
instance_ansible__ansible-0ea40e09d1b35bcb69ff4d9cecf3d0defa4b36e8-v30a923fb5c164d6cd18280c02422f75e611e8fb2,unresolved,unknown,31,37,0,26,22,1.1612903225806452,6,5.166666666666667,0.1891891891891892,9,2,37,18:true,5,0.11,early,3,1.0,False,1,1.0,2,2.0,False,0,False,False,13,11,True,True,False,N/A,1,1.0,2,0,0,0,2,0
instance_internetarchive__openlibrary-4a5d2a7d24c9e4c11d3069220c0685b736d5ecde-v13642507b4fc1f8d234172bf8129942da2c2ca26,unresolved,unknown,18,22,3,21,14,1.2222222222222223,5,3.4,0.22727272727272727,6,1,25,5:str_replace_editor: view,2,0.43,early,4,1.11,True,3,2.33,2,1.67,True,1,False,False,2,1,False,False,False,"('localization',)",1,1.0,1,0,1,0,0,0
instance_ansible__ansible-a6e671db25381ed111bbad0ab3e7d97366395d05-v0f01c69f1e2528b935359cfe578530722bca2c59,resolved,unknown,25,32,3,26,14,1.24,7,4.428571428571429,0.21875,10,2,35,4:true,6,0.39,early,8,1.08,True,3,2.0,3,2.0,True,1,False,False,6,4,True,True,True,"('validation',)",2,2.0,1,0,0,0,2,0
