instance,resolution,debug_difficulty,node_count,exec_edge_count,hier_edge_count,step_count,longest_path,avg_out_degree,loop_count,avg_loop_length,backedge_fraction,max_loop_length,min_loop_length,edge_count,most_freq_node,most_freq_node_freq,loc_focus_ratio,loc_dominant_zone,loc_num_clusters,loc_avg_node_freq,repeated_view,max_view_depth,avg_view_depth,max_view_span,avg_view_span,scroll_behavior,num_deep_zooms_without_edit,back_and_forth_switch,zoom_out,patch_total,patch_success,flip_flop,repeat_failed_edit,abandonment,fail_to_success_patterns,fail_streak_max,fail_streak_avg,fail_streak_count,fail_type_not found,fail_type_no change,fail_type_multiple occurrences,fail_type_unknown,fail_type_invalid code
instance_internetarchive__openlibrary-5069b09e5f64428dce59b33455c8bb17fe577070-v8717e18970bcdc4e0d2cea3b1527752b21e74866,unresolved,unknown,35,50,6,40,19,1.2571428571428571,10,3.1,0.2,4,2,60,14:cd,11,0.31,early,3,1.0,False,4,3.5,2,1.5,False,2,False,False,4,4,False,False,False,N/A,0,0,0,0,0,0,0,0
instance_qutebrowser__qutebrowser-e64622cd2df5b521342cf4a62e0d4cb8f8c9ae5a-v363c8a7e5ccdf6968fc7ab84a2053ac78036691d,unresolved,unknown,1,0,0,1,0,0.0,0,0.0,0.0,0,0,0,0:think,1,0.0,none,0,0.0,False,0,0.0,0,0.0,False,0,False,False,0,0,False,False,False,N/A,0,0,0,0,0,0,0,0
instance_qutebrowser__qutebrowser-96b997802e942937e81d2b8a32d08f00d3f4bc4e-v5fc38aaf22415ab0b70567368332beee7955b367,unresolved,unknown,1,0,0,1,0,0.0,0,0.0,0.0,0,0,0,0:think,1,0.0,none,0,0.0,False,0,0.0,0,0.0,False,0,False,False,0,0,False,False,False,N/A,0,0,0,0,0,0,0,0
instance_internetarchive__openlibrary-3aeec6afed9198d734b7ee1293f03ca94ff970e1-v13642507b4fc1f8d234172bf8129942da2c2ca26,unresolved,unknown,50,97,5,61,13,1.66,34,2.6176470588235294,0.32989690721649484,9,2,131,5:cd,37,0.19,early,14,1.06,True,4,3.25,3,2.0,True,1,False,True,6,5,False,False,False,"('localization',)",1,1,1,1,0,0,0,0
instance_ansible__ansible-12734fa21c08a0ce8c84e533abdc560db2eb1955-v7eee2454f617569fd6889f2211f75bc02a35f9f8,unsubmitted,unknown,39,50,11,42,23,1.1794871794871795,8,3.875,0.16,6,2,67,18:cd,9,0.49,early,5,1.04,True,3,2.62,6,4.0,False,4,False,True,10,10,False,False,False,N/A,0,0,0,0,0,0,0,0
instance_ansible__ansible-b2a289dcbb702003377221e25f62c8a3608f0e89-v173091e2e36d38c978002990795f66cfc0af30ad,unsubmitted,unknown,61,77,12,63,30,1.2131147540983607,14,4.214285714285714,0.16883116883116883,14,2,98,17:cd,15,0.49,early,8,1.0,False,4,2.83,5,3.0,True,2,False,True,8,8,True,False,False,N/A,0,0,0,0,0,0,0,0
instance_qutebrowser__qutebrowser-34a13afd36b5e529d553892b1cd8b9d5ce8881c4-vafb3e8e01b31319c66c4e666b8a3b1d8ba55db24,unresolved,unknown,11,11,2,10,8,1.0,1,3.0,0.09090909090909091,3,3,14,5:cd,2,0.75,mixed,3,1.0,False,3,2.0,2,1.33,False,2,False,False,0,0,False,False,False,N/A,0,0,0,0,0,0,0,0
instance_ansible__ansible-0ea40e09d1b35bcb69ff4d9cecf3d0defa4b36e8-v30a923fb5c164d6cd18280c02422f75e611e8fb2,unsubmitted,unknown,51,87,8,58,15,1.5294117647058822,28,2.6785714285714284,0.3218390804597701,7,2,113,9:cd,30,0.2,early,5,1.0,False,4,2.8,4,2.0,True,3,False,False,2,1,False,False,False,N/A,1,1,1,0,1,0,0,0
instance_internetarchive__openlibrary-4a5d2a7d24c9e4c11d3069220c0685b736d5ecde-v13642507b4fc1f8d234172bf8129942da2c2ca26,unresolved,unknown,33,65,2,41,8,1.606060606060606,21,2.5714285714285716,0.3230769230769231,4,2,84,5:cd,25,0.26,early,11,1.06,True,3,2.0,2,1.67,False,1,False,True,2,2,False,False,False,N/A,0,0,0,0,0,0,0,0
instance_ansible__ansible-a6e671db25381ed111bbad0ab3e7d97366395d05-v0f01c69f1e2528b935359cfe578530722bca2c59,resolved,unknown,40,58,5,45,21,1.275,12,2.8333333333333335,0.22413793103448276,4,2,72,17:cd,14,0.36,early,4,1.0,False,4,2.75,3,1.75,True,1,False,False,2,2,False,False,False,N/A,0,0,0,0,0,0,0,0
instance_internetarchive__openlibrary-2fe532a33635aab7a9bfea5d977f6a72b280a30c-v0f5aece3601a5b4419f7ccec1dbda2071be28ee4,unsubmitted,unknown,59,78,10,65,32,1.2203389830508475,14,5.142857142857143,0.1794871794871795,20,2,96,13:cd,14,0.56,early,5,1.02,True,4,2.45,6,3.75,True,4,False,False,3,3,False,False,False,N/A,0,0,0,0,0,0,0,0
instance_ansible__ansible-ed6581e4db2f1bec5a772213c3e186081adc162d-v0f01c69f1e2528b935359cfe578530722bca2c59,unsubmitted,unknown,45,63,12,49,22,1.2666666666666666,13,3.3076923076923075,0.2222222222222222,9,2,85,14:cd,15,0.38,early,6,1.0,False,5,3.89,6,2.6,True,2,False,False,7,7,False,False,False,N/A,0,0,0,0,0,0,0,0
instance_internetarchive__openlibrary-de6ae10512f1b5ef585c8341b451bc49c9fd4996-vfa6ff903cb27f336e17654595dd900fa943dcd91,resolved,unknown,22,40,5,29,11,1.4090909090909092,10,2.7,0.25,3,2,50,6:cd,12,0.27,early,4,1.0,False,3,3.0,3,2.0,True,1,False,False,5,5,False,False,False,N/A,0,0,0,0,0,0,0,0
instance_qutebrowser__qutebrowser-3fd8e12949b8feda401930574facf09dd4180bba,unresolved,unknown,20,26,7,19,10,1.3,7,2.4285714285714284,0.23076923076923078,4,2,38,7:cd,8,0.48,early,6,1.0,False,3,2.17,6,2.67,False,6,False,False,2,2,False,False,False,N/A,0,0,0,0,0,0,0,0
instance_qutebrowser__qutebrowser-f91ace96223cac8161c16dd061907e138fe85111-v059c6fdc75567943479b23ebca7c07b5e9a7f34c,unresolved,unknown,1,0,0,1,0,0.0,0,0.0,0.0,0,0,0,0:think,1,0.0,none,0,0.0,False,0,0.0,0,0.0,False,0,False,False,0,0,False,False,False,N/A,0,0,0,0,0,0,0,0
instance_ansible__ansible-cd9c4eb5a6b2bfaf4a6709f001ce3d0c92c1eed2-v0f01c69f1e2528b935359cfe578530722bca2c59,unsubmitted,unknown,52,79,6,56,21,1.4038461538461537,23,3.0869565217391304,0.3037974683544304,12,2,103,10:cd,24,0.19,early,7,1.07,True,4,3.2,3,2.25,True,2,False,False,11,11,True,False,False,N/A,0,0,0,0,0,0,0,0
