instance,resolution,debug_difficulty,node_count,exec_edge_count,hier_edge_count,step_count,longest_path,avg_out_degree,loop_count,avg_loop_length,backedge_fraction,max_loop_length,min_loop_length,edge_count,most_freq_node,most_freq_node_freq,loc_focus_ratio,loc_dominant_zone,loc_num_clusters,loc_avg_node_freq,repeated_view,max_view_depth,avg_view_depth,max_view_span,avg_view_span,scroll_behavior,num_deep_zooms_without_edit,back_and_forth_switch,zoom_out,patch_total,patch_success,flip_flop,repeat_failed_edit,abandonment,fail_to_success_patterns,fail_streak_max,fail_streak_avg,fail_streak_count,fail_type_not found,fail_type_no change,fail_type_multiple occurrences,fail_type_unknown,fail_type_invalid code
instance_internetarchive__openlibrary-5069b09e5f64428dce59b33455c8bb17fe577070-v8717e18970bcdc4e0d2cea3b1527752b21e74866,unresolved,unknown,29,36,6,30,16,1.1724137931034482,6,3.8333333333333335,0.16666666666666666,7,2,45,10:cd,7,0.32,early,4,1.0,False,3,2.33,4,2.0,False,3,False,False,3,3,False,False,False,N/A,0,0,0,0,0,0,0,0
instance_qutebrowser__qutebrowser-e64622cd2df5b521342cf4a62e0d4cb8f8c9ae5a-v363c8a7e5ccdf6968fc7ab84a2053ac78036691d,unresolved,unknown,1,0,0,1,0,0.0,0,0.0,0.0,0,0,0,0:think,1,0.0,none,0,0.0,False,0,0.0,0,0.0,False,0,False,False,0,0,False,False,False,N/A,0,0,0,0,0,0,0,0
instance_qutebrowser__qutebrowser-96b997802e942937e81d2b8a32d08f00d3f4bc4e-v5fc38aaf22415ab0b70567368332beee7955b367,unresolved,unknown,1,0,0,1,0,0.0,0,0.0,0.0,0,0,0,0:think,1,0.0,none,0,0.0,False,0,0.0,0,0.0,False,0,False,False,0,0,False,False,False,N/A,0,0,0,0,0,0,0,0
instance_internetarchive__openlibrary-3aeec6afed9198d734b7ee1293f03ca94ff970e1-v13642507b4fc1f8d234172bf8129942da2c2ca26,unsubmitted,unknown,38,72,5,48,14,1.4736842105263157,25,3.88,0.2777777777777778,10,2,95,8:cd,22,0.23,early,7,1.06,True,4,3.33,3,1.75,True,1,False,True,5,4,False,False,False,"('localization',)",1,1,1,1,0,0,0,0
instance_ansible__ansible-b2a289dcbb702003377221e25f62c8a3608f0e89-v173091e2e36d38c978002990795f66cfc0af30ad,unsubmitted,unknown,48,77,8,57,23,1.4166666666666667,23,4.304347826086956,0.2727272727272727,13,2,101,17:cd,21,0.29,early,4,1.05,True,5,4.17,4,2.0,True,0,False,False,11,11,False,False,False,N/A,0,0,0,0,0,0,0,0
instance_qutebrowser__qutebrowser-34a13afd36b5e529d553892b1cd8b9d5ce8881c4-vafb3e8e01b31319c66c4e666b8a3b1d8ba55db24,resolved,unknown,45,66,2,45,14,1.4444444444444444,21,2.5714285714285716,0.3181818181818182,7,2,84,8:cd,22,0.15,early,3,1.0,False,3,1.67,3,1.67,False,2,False,False,26,26,True,False,False,N/A,0,0,0,0,0,0,0,0
instance_ansible__ansible-0ea40e09d1b35bcb69ff4d9cecf3d0defa4b36e8-v30a923fb5c164d6cd18280c02422f75e611e8fb2,resolved,unknown,36,57,4,41,16,1.4444444444444444,17,2.7058823529411766,0.2807017543859649,5,2,70,12:cd,17,0.28,early,4,1.07,True,3,2.25,3,2.33,True,2,False,False,3,3,False,False,False,N/A,0,0,0,0,0,0,0,0
instance_internetarchive__openlibrary-4a5d2a7d24c9e4c11d3069220c0685b736d5ecde-v13642507b4fc1f8d234172bf8129942da2c2ca26,resolved,unknown,23,39,3,28,9,1.434782608695652,11,2.5454545454545454,0.3076923076923077,3,1,49,7:cd,12,0.33,early,5,1.0,False,3,2.5,2,1.33,False,1,False,False,1,1,False,False,False,N/A,0,0,0,0,0,0,0,0
instance_ansible__ansible-a6e671db25381ed111bbad0ab3e7d97366395d05-v0f01c69f1e2528b935359cfe578530722bca2c59,resolved,unknown,46,76,8,55,19,1.391304347826087,19,2.8947368421052633,0.2631578947368421,4,2,95,16:cd,22,0.36,early,7,1.08,True,5,3.2,3,1.8,True,3,False,False,6,6,False,False,False,N/A,0,0,0,0,0,0,0,0
instance_internetarchive__openlibrary-2fe532a33635aab7a9bfea5d977f6a72b280a30c-v0f5aece3601a5b4419f7ccec1dbda2071be28ee4,unsubmitted,unknown,54,78,6,62,30,1.2962962962962963,17,4.235294117647059,0.21794871794871795,15,2,89,19:cd,17,0.78,mixed,18,1.17,True,3,3.0,5,2.67,True,2,False,False,0,0,False,False,False,N/A,0,0,0,0,0,0,0,0
instance_ansible__ansible-ed6581e4db2f1bec5a772213c3e186081adc162d-v0f01c69f1e2528b935359cfe578530722bca2c59,resolved,unknown,27,27,7,26,24,1.0,1,3.0,0.037037037037037035,3,3,34,20:cd,2,0.86,mixed,3,1.0,False,4,2.8,3,2.25,True,2,False,False,1,1,False,False,False,N/A,0,0,0,0,0,0,0,0
instance_internetarchive__openlibrary-de6ae10512f1b5ef585c8341b451bc49c9fd4996-vfa6ff903cb27f336e17654595dd900fa943dcd91,unresolved,unknown,25,40,4,30,11,1.36,10,2.9,0.225,4,2,49,8:cd,11,0.29,early,4,1.0,False,3,3.0,2,1.33,False,1,False,False,2,2,False,False,False,N/A,0,0,0,0,0,0,0,0
instance_qutebrowser__qutebrowser-3fd8e12949b8feda401930574facf09dd4180bba,unresolved,unknown,32,46,13,32,11,1.375,13,2.5384615384615383,0.30434782608695654,4,2,71,7:cd,15,0.66,mixed,16,1.03,True,3,2.36,9,4.67,False,11,False,True,0,0,False,False,False,N/A,0,0,0,0,0,0,0,0
instance_qutebrowser__qutebrowser-f91ace96223cac8161c16dd061907e138fe85111-v059c6fdc75567943479b23ebca7c07b5e9a7f34c,unresolved,unknown,1,0,0,1,0,0.0,0,0.0,0.0,0,0,0,0:think,1,0.0,none,0,0.0,False,0,0.0,0,0.0,False,0,False,False,0,0,False,False,False,N/A,0,0,0,0,0,0,0,0
instance_ansible__ansible-cd9c4eb5a6b2bfaf4a6709f001ce3d0c92c1eed2-v0f01c69f1e2528b935359cfe578530722bca2c59,unsubmitted,unknown,53,83,9,64,25,1.320754716981132,18,3.888888888888889,0.20481927710843373,13,2,104,21:cd,20,0.17,early,8,1.0,False,4,3.25,5,2.25,True,1,False,False,10,9,True,False,False,N/A,1,1,1,0,1,0,0,0
instance_qutebrowser__qutebrowser-e57b6e0eeeb656eb2c84d6547d5a0a7333ecee85-v2ef375ac784985212b1805e1d0431dc8f1b3c171,unresolved,unknown,1,0,0,1,0,0.0,0,0.0,0.0,0,0,0,0:think,1,0.0,none,0,0.0,False,0,0.0,0,0.0,False,0,False,False,0,0,False,False,False,N/A,0,0,0,0,0,0,0,0
instance_internetarchive__openlibrary-6afdb09df692223c3a31df65cfa92f15e5614c01-v08d8e8889ec945ab821fb156c04c7d2e2810debb,resolved,unknown,42,64,5,48,20,1.3095238095238095,16,5.0,0.203125,12,2,80,7:cd,11,0.17,early,7,1.1,True,3,2.75,3,2.33,False,1,False,True,9,8,False,False,False,"('localization', 'validation', 'localization', 'validation', 'localization')",1,1,1,0,1,0,0,0
instance_qutebrowser__qutebrowser-50efac08f623644a85441bbe02ab9347d2b71a9d-v9f8e9d96c85c85a605e382f1510bd08563afc566,unresolved,unknown,18,21,5,18,14,1.1111111111111112,3,2.3333333333333335,0.09523809523809523,3,2,28,12:cd,4,0.77,mixed,5,1.06,True,3,2.67,3,2.0,False,3,False,False,0,0,False,False,False,N/A,0,0,0,0,0,0,0,0
instance_internetarchive__openlibrary-3f580a5f244c299d936d73d9e327ba873b6401d9-v0f5aece3601a5b4419f7ccec1dbda2071be28ee4,unsubmitted,unknown,48,69,7,54,15,1.3125,16,4.3125,0.2028985507246377,9,2,86,6:cd,16,0.37,early,9,1.08,True,3,3.0,4,2.33,False,2,False,False,7,7,False,False,False,N/A,0,0,0,0,0,0,0,0
instance_ansible__ansible-106909db8b730480615f4a33de0eb5b710944e78-v0f01c69f1e2528b935359cfe578530722bca2c59,unresolved,unknown,36,44,11,38,24,1.1388888888888888,6,4.833333333333333,0.11363636363636363,12,2,59,13:cd,7,0.42,early,5,1.0,False,6,4.5,4,1.67,True,1,False,False,9,9,False,False,False,N/A,0,0,0,0,0,0,0,0
instance_ansible__ansible-748f534312f2073a25a87871f5bd05882891b8c4-v0f01c69f1e2528b935359cfe578530722bca2c59,unsubmitted,unknown,39,63,4,42,16,1.4871794871794872,26,3.076923076923077,0.30158730158730157,6,2,82,11:cd,20,0.12,early,5,1.0,False,3,3.0,3,1.67,True,1,False,False,11,11,True,False,False,N/A,0,0,0,0,0,0,0,0
instance_qutebrowser__qutebrowser-5cef49ff3074f9eab1da6937a141a39a20828502-v02ad04386d5238fe2d1a1be450df257370de4b6a,unresolved,unknown,1,0,0,1,0,0.0,0,0.0,0.0,0,0,0,0:think,1,0.0,none,0,0.0,False,0,0.0,0,0.0,False,0,False,False,0,0,False,False,False,N/A,0,0,0,0,0,0,0,0
instance_qutebrowser__qutebrowser-e5340c449f23608803c286da0563b62f58ba25b0-v059c6fdc75567943479b23ebca7c07b5e9a7f34c,unresolved,unknown,1,0,0,1,0,0.0,0,0.0,0.0,0,0,0,0:think,1,0.0,none,0,0.0,False,0,0.0,0,0.0,False,0,False,False,0,0,False,False,False,N/A,0,0,0,0,0,0,0,0
instance_qutebrowser__qutebrowser-de4a1c1a2839b5b49c3d4ce21d39de48d24e2091-v2ef375ac784985212b1805e1d0431dc8f1b3c171,unresolved,unknown,1,0,0,1,0,0.0,0,0.0,0.0,0,0,0,0:think,1,0.0,none,0,0.0,False,0,0.0,0,0.0,False,0,False,False,0,0,False,False,False,N/A,0,0,0,0,0,0,0,0
instance_qutebrowser__qutebrowser-1943fa072ec3df5a87e18a23b0916f134c131016-vafb3e8e01b31319c66c4e666b8a3b1d8ba55db24,unresolved,unknown,27,31,8,28,22,1.0740740740740742,3,3.0,0.0967741935483871,3,3,39,18:cd,4,0.81,mixed,5,1.08,True,4,3.25,4,2.25,True,2,False,False,1,0,False,False,True,N/A,1,1,1,1,0,0,0,0
instance_internetarchive__openlibrary-e010b2a13697de70170033902ba2e27a1e1acbe9-v0f5aece3601a5b4419f7ccec1dbda2071be28ee4,resolved,unknown,29,28,12,28,28,0.9655172413793104,0,0.0,0.0,0,0,40,0:find,1,0.86,mixed,2,1.0,False,4,2.88,6,3.25,False,5,False,False,2,2,False,False,False,N/A,0,0,0,0,0,0,0,0
instance_ansible__ansible-39bd8b99ec8c6624207bf3556ac7f9626dad9173-v1055803c3a812189a1133297f7f5468579283f86,unresolved,unknown,37,61,7,46,18,1.3783783783783783,15,3.466666666666667,0.22950819672131148,12,2,75,7:cd,16,0.13,early,5,1.0,False,4,3.25,4,1.75,True,1,False,False,11,10,True,False,False,N/A,1,1,1,0,1,0,0,0
instance_internetarchive__openlibrary-427f1f4eddfc54735ca451779d4f95bf683d1b0e-v0f5aece3601a5b4419f7ccec1dbda2071be28ee4,unresolved,unknown,37,55,15,41,18,1.3513513513513513,14,2.9285714285714284,0.23636363636363636,7,2,80,12:cd,15,0.43,early,7,1.09,True,5,4.11,5,3.0,True,4,False,False,5,5,False,False,False,N/A,0,0,0,0,0,0,0,0
instance_ansible__ansible-5f4e332e3762999d94af27746db29ff1729252c1-v0f01c69f1e2528b935359cfe578530722bca2c59,unsubmitted,unknown,63,98,16,71,18,1.3968253968253967,26,3.1538461538461537,0.24489795918367346,7,2,126,12:cd,27,0.24,early,7,1.04,True,5,4.0,4,2.4,True,3,False,False,8,7,True,False,False,N/A,1,1,1,0,1,0,0,0
instance_qutebrowser__qutebrowser-8f46ba3f6dc7b18375f7aa63c48a1fe461190430-v2ef375ac784985212b1805e1d0431dc8f1b3c171,unresolved,unknown,1,0,0,1,0,0.0,0,0.0,0.0,0,0,0,0:think,1,0.0,none,0,0.0,False,0,0.0,0,0.0,False,0,False,False,0,0,False,False,False,N/A,0,0,0,0,0,0,0,0
