instance,resolution,debug_difficulty,node_count,exec_edge_count,hier_edge_count,step_count,longest_path,avg_out_degree,loop_count,avg_loop_length,backedge_fraction,max_loop_length,min_loop_length,edge_count,most_freq_node,most_freq_node_freq,loc_focus_ratio,loc_dominant_zone,loc_num_clusters,loc_avg_node_freq,repeated_view,max_view_depth,avg_view_depth,max_view_span,avg_view_span,scroll_behavior,num_deep_zooms_without_edit,back_and_forth_switch,zoom_out,patch_total,patch_success,flip_flop,repeat_failed_edit,abandonment,fail_to_success_patterns,fail_streak_max,fail_streak_avg,fail_streak_count,fail_type_not found,fail_type_no change,fail_type_multiple occurrences,fail_type_unknown,fail_type_invalid code
instance_internetarchive__openlibrary-5069b09e5f64428dce59b33455c8bb17fe577070-v8717e18970bcdc4e0d2cea3b1527752b21e74866,unresolved,unknown,64,95,14,69,30,1.375,42,8.761904761904763,0.2631578947368421,21,1,109,6:true,15,0.34,early,11,1.06,True,4,1.91,11,5.75,True,6,False,True,15,11,True,False,True,"('localization',)",2,1.33,3,0,0,0,4,0
instance_qutebrowser__qutebrowser-e64622cd2df5b521342cf4a62e0d4cb8f8c9ae5a-v363c8a7e5ccdf6968fc7ab84a2053ac78036691d,resolved,unknown,41,49,1,43,25,1.1951219512195121,9,5.222222222222222,0.1836734693877551,12,1,50,5:true,5,0.5,early,5,1.09,True,2,1.14,7,4.0,True,2,False,False,6,6,True,False,False,N/A,0,0.0,0,0,0,0,0,0
instance_qutebrowser__qutebrowser-96b997802e942937e81d2b8a32d08f00d3f4bc4e-v5fc38aaf22415ab0b70567368332beee7955b367,resolved,unknown,36,42,3,36,23,1.1666666666666667,8,7.0,0.16666666666666666,16,2,45,8:true,6,0.33,early,6,1.0,False,2,1.75,4,3.5,True,0,False,False,12,11,True,False,False,N/A,1,1.0,1,0,0,0,1,0
instance_internetarchive__openlibrary-3aeec6afed9198d734b7ee1293f03ca94ff970e1-v13642507b4fc1f8d234172bf8129942da2c2ca26,unresolved,unknown,34,46,3,40,25,1.2647058823529411,17,6.823529411764706,0.21739130434782608,15,1,49,11:true,6,0.32,early,9,1.15,True,3,1.67,3,1.67,True,1,False,False,10,8,True,False,True,N/A,1,1.0,2,0,0,0,2,0
instance_ansible__ansible-12734fa21c08a0ce8c84e533abdc560db2eb1955-v7eee2454f617569fd6889f2211f75bc02a35f9f8,resolved,unknown,38,41,1,40,32,1.0789473684210527,4,13.0,0.0975609756097561,19,4,42,4:sed,2,0.24,early,6,1.0,False,2,1.25,4,2.5,False,1,False,False,16,15,True,False,False,"('localization',)",1,1.0,1,0,0,0,1,0
instance_ansible__ansible-b2a289dcbb702003377221e25f62c8a3608f0e89-v173091e2e36d38c978002990795f66cfc0af30ad,unresolved,unknown,53,68,2,54,25,1.2641509433962264,15,4.0,0.22058823529411764,14,2,70,7:true,10,0.26,early,11,1.0,False,2,1.29,7,4.5,True,2,False,False,14,14,True,False,False,N/A,0,0.0,0,0,0,0,0,0
instance_qutebrowser__qutebrowser-34a13afd36b5e529d553892b1cd8b9d5ce8881c4-vafb3e8e01b31319c66c4e666b8a3b1d8ba55db24,unresolved,unknown,35,48,0,34,15,1.3142857142857143,14,4.857142857142857,0.25,9,2,48,4:true,9,0.12,early,3,1.0,False,1,1.0,2,2.0,False,0,False,False,13,10,True,True,True,N/A,1,1.0,3,0,0,0,3,0
instance_ansible__ansible-0ea40e09d1b35bcb69ff4d9cecf3d0defa4b36e8-v30a923fb5c164d6cd18280c02422f75e611e8fb2,resolved,unknown,23,24,3,24,17,1.0434782608695652,2,4.0,0.08333333333333333,6,2,27,9:python,2,0.32,early,4,1.0,False,3,1.67,3,1.67,True,0,False,False,8,7,True,False,False,"('localization',)",1,1.0,1,0,0,0,1,0
instance_internetarchive__openlibrary-4a5d2a7d24c9e4c11d3069220c0685b736d5ecde-v13642507b4fc1f8d234172bf8129942da2c2ca26,unresolved,unknown,18,19,1,20,14,1.0555555555555556,2,2.5,0.10526315789473684,3,2,20,10:str_replace_editor: str_replace,3,0.3,early,2,1.0,False,2,1.33,3,2.0,False,1,False,False,7,4,True,True,True,N/A,2,1.5,2,0,0,0,3,0
instance_ansible__ansible-a6e671db25381ed111bbad0ab3e7d97366395d05-v0f01c69f1e2528b935359cfe578530722bca2c59,unresolved,unknown,29,40,0,31,14,1.3103448275862069,10,4.0,0.225,10,2,40,4:true,9,0.27,early,6,1.38,True,1,1.0,5,5.0,True,0,False,False,5,4,True,False,False,"('localization',)",1,1.0,1,0,0,0,1,0
instance_internetarchive__openlibrary-2fe532a33635aab7a9bfea5d977f6a72b280a30c-v0f5aece3601a5b4419f7ccec1dbda2071be28ee4,unresolved,unknown,51,67,2,49,20,1.2941176470588236,22,6.0,0.2537313432835821,11,1,69,5:true,9,0.24,early,4,1.07,True,2,1.2,10,6.0,True,3,False,False,11,10,True,False,False,N/A,1,1.0,1,0,0,0,1,0
instance_ansible__ansible-ed6581e4db2f1bec5a772213c3e186081adc162d-v0f01c69f1e2528b935359cfe578530722bca2c59,resolved,unknown,23,25,0,23,17,1.0869565217391304,3,4.0,0.12,8,2,25,0:str_replace_editor: view,2,0.31,early,3,1.14,True,1,1.0,4,4.0,False,1,False,False,8,8,True,False,False,N/A,0,0.0,0,0,0,0,0,0
