instance,resolution,debug_difficulty,node_count,exec_edge_count,hier_edge_count,step_count,longest_path,avg_out_degree,loop_count,avg_loop_length,backedge_fraction,max_loop_length,min_loop_length,edge_count,most_freq_node,most_freq_node_freq,loc_focus_ratio,loc_dominant_zone,loc_num_clusters,loc_avg_node_freq,repeated_view,max_view_depth,avg_view_depth,max_view_span,avg_view_span,scroll_behavior,num_deep_zooms_without_edit,back_and_forth_switch,zoom_out,patch_total,patch_success,flip_flop,repeat_failed_edit,abandonment,fail_to_success_patterns,fail_streak_max,fail_streak_avg,fail_streak_count,fail_type_not found,fail_type_no change,fail_type_multiple occurrences,fail_type_unknown,fail_type_invalid code
instance_internetarchive__openlibrary-5069b09e5f64428dce59b33455c8bb17fe577070-v8717e18970bcdc4e0d2cea3b1527752b21e74866,resolved,unknown,29,35,0,31,21,1.206896551724138,7,5.714285714285714,0.2,18,1,35,4:true,4,0.28,early,5,1.25,True,1,1.0,4,4.0,False,0,False,False,10,10,True,False,False,N/A,0,0.0,0,0,0,0,0,0
instance_qutebrowser__qutebrowser-e64622cd2df5b521342cf4a62e0d4cb8f8c9ae5a-v363c8a7e5ccdf6968fc7ab84a2053ac78036691d,unresolved,unknown,35,45,1,31,21,1.2571428571428571,12,6.083333333333333,0.2222222222222222,16,2,46,3:true,8,0.24,early,7,1.0,False,2,1.33,3,2.0,False,2,False,False,2,2,True,False,False,N/A,0,0.0,0,0,0,0,0,0
instance_qutebrowser__qutebrowser-96b997802e942937e81d2b8a32d08f00d3f4bc4e-v5fc38aaf22415ab0b70567368332beee7955b367,resolved,unknown,21,25,1,20,12,1.1904761904761905,5,4.2,0.2,7,2,26,1:true,5,0.35,early,6,1.0,False,2,1.33,3,2.0,True,0,False,False,3,3,False,False,False,N/A,0,0.0,0,0,0,0,0,0
instance_internetarchive__openlibrary-3aeec6afed9198d734b7ee1293f03ca94ff970e1-v13642507b4fc1f8d234172bf8129942da2c2ca26,unresolved,unknown,38,48,0,43,26,1.263157894736842,15,7.333333333333333,0.22916666666666666,15,1,48,5:pytest,6,0.12,early,5,1.0,False,1,1.0,1,1.0,False,0,False,False,15,13,True,False,True,N/A,1,1.0,2,0,0,0,2,0
instance_ansible__ansible-12734fa21c08a0ce8c84e533abdc560db2eb1955-v7eee2454f617569fd6889f2211f75bc02a35f9f8,unresolved,unknown,45,66,0,50,20,1.3777777777777778,25,5.44,0.2878787878787879,14,1,66,7:true,11,0.21,mixed,13,1.17,True,1,1.0,2,2.0,False,0,False,False,19,18,True,False,False,N/A,1,1.0,1,0,0,0,1,0
instance_ansible__ansible-b2a289dcbb702003377221e25f62c8a3608f0e89-v173091e2e36d38c978002990795f66cfc0af30ad,unresolved,unknown,57,96,10,62,12,1.456140350877193,30,3.8,0.3645833333333333,8,2,106,4:true,27,0.35,early,23,1.31,True,3,1.57,7,4.33,True,1,False,False,11,11,True,False,False,N/A,0,0.0,0,0,0,0,0,0
instance_qutebrowser__qutebrowser-34a13afd36b5e529d553892b1cd8b9d5ce8881c4-vafb3e8e01b31319c66c4e666b8a3b1d8ba55db24,resolved,unknown,41,59,2,47,18,1.2439024390243902,11,4.181818181818182,0.288135593220339,10,2,61,3:true,12,0.27,early,10,1.45,True,2,1.6,4,3.5,True,2,False,False,16,11,True,True,True,N/A,3,1.67,3,0,0,0,5,0
instance_ansible__ansible-0ea40e09d1b35bcb69ff4d9cecf3d0defa4b36e8-v30a923fb5c164d6cd18280c02422f75e611e8fb2,unresolved,unknown,31,41,0,28,19,1.2258064516129032,8,5.0,0.21951219512195122,16,2,41,4:true,8,0.21,early,4,1.12,True,1,1.0,5,5.0,True,1,False,False,5,4,True,False,True,"('validation',)",1,1.0,1,0,0,0,1,0
instance_internetarchive__openlibrary-4a5d2a7d24c9e4c11d3069220c0685b736d5ecde-v13642507b4fc1f8d234172bf8129942da2c2ca26,resolved,unknown,16,16,0,16,15,1.0,1,2.0,0.0625,2,2,16,14:submit,2,0.29,mixed,4,1.0,False,1,1.0,1,1.0,False,0,False,False,6,5,True,False,False,N/A,1,1.0,1,0,0,0,1,0
instance_ansible__ansible-a6e671db25381ed111bbad0ab3e7d97366395d05-v0f01c69f1e2528b935359cfe578530722bca2c59,resolved,unknown,20,22,1,20,15,1.1,3,3.3333333333333335,0.13636363636363635,5,2,23,3:true,3,0.48,early,5,1.0,False,2,1.33,3,2.0,True,1,False,False,4,4,True,False,False,N/A,0,0.0,0,0,0,0,0,0
instance_internetarchive__openlibrary-2fe532a33635aab7a9bfea5d977f6a72b280a30c-v0f5aece3601a5b4419f7ccec1dbda2071be28ee4,unresolved,unknown,38,49,0,39,16,1.236842105263158,10,4.4,0.22448979591836735,8,1,49,3:true,7,0.16,early,5,1.0,False,1,1.0,1,1.0,False,0,False,False,13,11,True,False,True,N/A,1,1.0,2,0,0,0,2,0
instance_ansible__ansible-ed6581e4db2f1bec5a772213c3e186081adc162d-v0f01c69f1e2528b935359cfe578530722bca2c59,resolved,unknown,26,29,1,28,19,1.1153846153846154,4,5.25,0.13793103448275862,15,2,30,1:str_replace_editor: view,2,0.27,early,3,1.14,True,2,1.25,4,2.5,False,0,False,False,11,8,True,True,True,"('general',)",2,1.5,2,0,0,0,3,0
instance_internetarchive__openlibrary-de6ae10512f1b5ef585c8341b451bc49c9fd4996-vfa6ff903cb27f336e17654595dd900fa943dcd91,resolved,unknown,38,46,14,41,20,1.2105263157894737,11,6.363636363636363,0.17391304347826086,14,2,60,5:true,6,0.4,mixed,12,1.0,False,4,3.0,2,1.75,True,0,False,False,12,9,True,True,False,"('localization',)",2,1.5,2,0,0,0,3,0
instance_qutebrowser__qutebrowser-3fd8e12949b8feda401930574facf09dd4180bba,resolved,unknown,75,95,15,79,38,1.2666666666666666,31,7.193548387096774,0.22105263157894736,18,1,110,3:true,10,0.4,early,23,1.09,True,3,1.67,12,7.0,True,4,False,False,17,15,True,False,False,"('localization',)",2,2.0,1,0,0,0,2,0
instance_qutebrowser__qutebrowser-f91ace96223cac8161c16dd061907e138fe85111-v059c6fdc75567943479b23ebca7c07b5e9a7f34c,resolved,unknown,24,33,2,30,13,1.25,7,2.5714285714285716,0.30303030303030304,5,1,35,17:pytest,7,0.44,early,5,1.0,False,2,1.33,6,4.0,True,1,False,False,3,3,False,False,False,N/A,0,0.0,0,0,0,0,0,0
instance_ansible__ansible-cd9c4eb5a6b2bfaf4a6709f001ce3d0c92c1eed2-v0f01c69f1e2528b935359cfe578530722bca2c59,unresolved,unknown,32,40,0,33,19,1.21875,8,4.75,0.2,14,1,40,6:true,7,0.32,mixed,9,1.18,True,1,1.0,3,3.0,False,0,False,False,10,8,True,False,False,"('localization',)",1,1.0,2,0,0,0,2,0
instance_qutebrowser__qutebrowser-e57b6e0eeeb656eb2c84d6547d5a0a7333ecee85-v2ef375ac784985212b1805e1d0431dc8f1b3c171,resolved,unknown,36,45,17,43,20,1.25,11,6.0,0.2,16,1,62,10:pytest,7,0.43,early,5,1.18,True,3,2.57,6,5.33,True,1,False,False,13,13,False,False,False,N/A,0,0.0,0,0,0,0,0,0
